Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Instituto Tecnologico de Estudios Superiores de Monterrey"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Industry; Innovation; Entrepreneurship",TC.24,81,0.17,205.1,0.99,97.256
"Supply Chains; Supply Chain Management; Industry",TC.146,81,0.32,62.1,3.65,95.382
"Breads; Starch; Glutens",TC.169,78,0.45,5.2,0.91,91.299
"Industry; Research; Marketing",TC.36,55,0.15,26.2,1.13,96.586
"Vibration Control; Magnetorheological Fluids; Automobile Suspensions",TC.652,44,0.53,-70.5,0.58,59.705
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,41,0.21,31.3,0.44,82.195
"Drying; Moisture Determination; Thermal Processing (Foods)",TC.405,40,0.38,133.4,1.5,79.853
"Students; Teaching; Education; E-Learning",TC.200,40,0.17,18.3,0.61,86.278
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,37,0.05,-14.0,1.3,98.461
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,36,0.29,-46.9,0.76,74.699
"Cellulose; Lignin; Cellulases",TC.119,35,0.14,1569.4,2.5,98.126
"Control; Controllers; Linear Matrix Inequalities",TC.9,33,0.06,565.7,0.9,96.921
"Phase Equilibria; Binary Mixtures; Equations Of State",TC.135,33,0.24,425.7,0.66,85.141
"Microfluidics; Fluidic Devices; Microchannels",TC.197,31,0.15,95.0,1.25,95.917
"Machining; Cutting; Milling (Machining)",TC.179,29,0.13,-63.3,1.47,88.286
"Students; Science; Learning",TC.230,28,0.16,-31.8,1.1,70.75
"Industry; Web Services; Models",TC.327,28,0.2,116.6,4.52,72.088
"Stroke; Gait; Rehabilitation",TC.48,27,0.07,328.8,0.6,96.787
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,26,0.07,907.5,1.61,96.185
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,26,0.03,372.5,0.87,97.523
"Photonics; Optical Communication; Optical Fibers",TC.113,25,0.1,-79.2,1.0,79.518
"Models; Risks; Finance",TC.54,25,0.07,161.9,0.72,90.027
"Algorithms; Computer Vision; Models",TC.0,24,0.02,507.8,0.87,99.465
"Robots; Robotics; Manipulators",TC.101,24,0.08,-58.7,0.76,88.956
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,24,0.04,399.6,1.63,99.531
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,23,0.04,667.2,0.98,96.519
"Magnetron Sputtering; Nitriding; Coatings",TC.369,23,0.23,-39.6,0.72,72.289
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,23,0.07,-40.2,0.68,97.59
"Knowledge Management; Industry; Research",TC.325,22,0.18,-56.4,1.04,67.47
"Design; Human Computer Interaction; Augmented Reality",TC.231,22,0.09,-19.3,0.99,82.865
"Monetary Policy; Economic Growth; Exports",TC.21,21,0.05,-30.0,1.01,90.094
"Algae; Microalgae; Biodiesel",TC.517,21,0.18,601.5,2.09,92.637
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,21,0.07,18.0,0.73,92.905
"Multi Agent Systems; Motion Planning; Robots",TC.285,21,0.09,-89.6,0.97,87.416
"Industry; Six Sigma; Quality Management",TC.589,21,0.3,-16.9,1.23,57.697
"Eye; Glaucoma; Cataract",TC.19,19,0.05,31.8,0.79,90.83
"Students; Teacher; Learning",TC.337,19,0.14,72.1,0.21,70.348
"Vehicle Routing; Algorithms; Vehicles",TC.931,19,0.28,-41.1,0.94,62.182
"Ethylenes; Apples; Fruit",TC.308,19,0.19,174.9,1.61,74.632
"Scheduling; Algorithms; Optimization",TC.192,19,0.1,-46.2,0.77,83.199
"Obesity; Motor Activity; Child",TC.18,18,0.03,145.5,1.8,99.197
"Breast Neoplasms; Patients; Mammography",TC.89,18,0.07,342.0,1.08,90.897
"Mathematics; Students; Teacher",TC.391,17,0.14,-100.0,0.42,65.529
"Argentina; Mexico; Chile",TC.959,17,0.32,330.7,0.44,6.292
"Fixed Point; Fixed Point Theorem; Metric Space",TC.301,17,0.12,-,0.84,53.614
"Publications; Periodicals As Topic; Research",TC.275,17,0.09,482.1,0.34,84.27
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,17,0.06,-76.2,0.56,87.216
"Polypropylenes; Lactic Acid; Blending",TC.69,16,0.06,518.8,0.53,95.649
"Work; Personality; Psychology",TC.29,16,0.04,-23.0,1.01,96.452
"Block Copolymers; Micelles; Polymers",TC.112,16,0.07,-3.5,0.41,97.858
"Electricity; Energy; Economics",TC.81,16,0.04,120.1,1.15,98.594
"Cheeses; Caseins; Milk",TC.178,15,0.09,-16.6,1.07,93.842
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,15,0.04,-,0.47,99.063
"Latin America; Bolivia; Ecuador",TC.828,14,0.21,114.3,0.86,32.062
"Virtual Reality; Feedback; Haptic Interfaces",TC.941,14,0.21,-11.3,1.12,49.197
"Knee; Osteoarthritis; Cartilage",TC.120,13,0.05,-,0.86,91.566
"Party; Election; Voter",TC.172,13,0.06,-36.2,0.15,78.179
"Fractional; Fractional Order; Derivatives",TC.522,13,0.1,-100.0,0.86,75.569
"Sustainability; Sustainable Development; Students",TC.879,13,0.19,-16.3,12.02,53.213
"Media; News; Journalism",TC.279,13,0.07,51.4,0.5,81.593
"Classification (Of Information); Learning Systems; Algorithms",TC.195,13,0.05,58.9,1.01,88.487
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,12,0.04,47.7,0.48,87.818
"Pharmaceutical Preparations; Nanoparticles; Tablets",TC.82,12,0.04,95.1,1.68,97.39
"Location; Algorithms; Wi-Fi",TC.643,12,0.1,-57.2,1.49,70.683
"Design; Product Design; Product Development",TC.263,12,0.08,-83.6,1.82,69.478
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,12,0.01,24.7,2.89,99.933
"Cactaceae; Opuntia; Opuntia Ficus-Indica",TC.1422,12,0.6,-,1.49,22.49
"Statistical Process Control; Flowcharting; Fits And Tolerances",TC.898,11,0.2,318.4,0.32,35.743
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,11,0.03,-,0.67,94.578
"Heat Transfer; Nusselt Number; Natural Convection",TC.142,11,0.05,2.2,1.27,96.72
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,11,0.06,87.5,1.41,85.609
"Tea; Polyphenols; Anthocyanins",TC.294,11,0.06,-,0.98,94.11
"Composite Materials; Homogenization Method; Elasticity",TC.1074,11,0.27,9.8,0.66,45.114
"Sensors; Accelerometers; Smartphones",TC.880,11,0.11,64.9,1.0,69.813
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,11,0.03,-,1.15,92.303
"Pituitary Neoplasms; Growth Hormone; Acromegaly",TC.217,11,0.1,-,1.39,68.942
"Algebra; Quaternion; Clifford Analysis",TC.1412,11,0.5,146.7,0.46,5.288
"Metagenome; Probiotics; Bacteria",TC.215,11,0.05,91.5,2.49,98.661
"Containers; Freight Transportation; Ships",TC.881,10,0.15,1.2,0.99,56.225
"Industry; Information Systems; Research",TC.254,10,0.06,6.7,1.52,76.238
"Dengue; Viruses; Dengue Virus",TC.170,10,0.04,-,0.93,98.327
"Speech; Speech Recognition; Models",TC.156,10,0.04,-57.0,0.49,82.999
"Forming; Metal Forming; Sheet Metal",TC.413,10,0.09,165.9,2.47,64.859
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,10,0.04,-,1.0,96.118
"Neural Networks; Algorithms; Models",TC.1009,10,0.26,22.5,2.17,28.849
"Data Envelopment Analysis; Banks; Efficiency",TC.384,10,0.07,66.3,0.63,79.25
"Obesity; Leptin; Adiponectin",TC.257,9,0.05,-,0.65,91.633
"Electroencephalography; Brain Computer Interface; Electrophysiology",TC.659,9,0.08,-,1.15,76.975
"Students; Engineering; Education",TC.306,9,0.08,2.1,0.23,45.315
"Catalysts; Zeolites; Hydrogenation",TC.7,9,0.02,120.8,0.8,99.732
"Students; Teaching; Engineering Education; Laboratories",TC.633,9,0.13,86.7,0.75,35.542
"Construction; Construction Industry; Project Management",TC.295,9,0.06,230.8,0.3,85.007
"Location; Algorithms; Optimization",TC.1249,9,0.23,-100.0,1.15,33.869
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,9,0.04,-100.0,1.07,89.357
