Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Maastricht University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Obesity; Motor Activity; Child",TC.18,432,0.78,-22.0,2.19,99.197
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,405,1.04,-1.6,1.5,94.913
"Students; Medical Students; Education",TC.43,367,0.91,-45.2,1.86,91.901
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,318,0.98,-16.1,2.13,92.303
"Alzheimer Disease; Dementia; Amyloid",TC.32,293,0.74,16.0,2.82,98.795
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,256,0.92,20.3,2.55,94.177
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,240,1.03,-53.5,3.27,92.236
"Emotions; Anxiety; Depression",TC.167,223,0.91,12.6,1.9,95.515
"Agents; Game Theory; Models",TC.173,217,0.97,-18.0,0.91,81.058
"Attention; Brain; Learning",TC.10,193,0.43,36.4,1.35,98.193
"Bone And Bones; Osteoporosis; Bone Density",TC.45,193,0.68,6.1,1.7,92.972
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,186,0.65,-21.9,3.95,92.035
"Spine; Patients; Low Back Pain",TC.23,169,0.41,-39.4,1.38,93.039
"European Union (EU); Europe; Governance",TC.505,164,1.47,15.0,1.72,46.319
"Stroke; Gait; Rehabilitation",TC.48,158,0.4,5.8,1.33,96.787
"Work; Personality; Psychology",TC.29,149,0.37,-23.0,1.68,96.452
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,146,0.52,86.9,3.06,95.582
"Smoking; Tobacco Products; Smoking Cessation",TC.205,145,0.77,-38.4,1.53,89.826
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,144,0.71,19.1,1.56,80.054
"Neoplasms; Patients; Palliative Care",TC.77,142,0.44,119.3,2.21,95.047
"Industry; Innovation; Entrepreneurship",TC.24,133,0.29,-28.8,2.76,97.256
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,128,0.57,50.1,2.42,91.165
"Breast Neoplasms; Patients; Mammography",TC.89,126,0.5,-12.3,1.18,90.897
"Pain; Neuralgia; Chronic Pain",TC.140,125,0.63,-8.4,2.11,90.562
"Pregnancy; Pre-Eclampsia; Women",TC.85,124,0.52,-29.9,1.63,90.696
"Memory; Episodic Memory; Learning",TC.448,123,1.28,45.8,1.54,73.226
"Hypertension; Blood Pressure; Patients",TC.157,122,0.74,-32.2,2.09,82.932
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,120,0.55,160.2,2.09,93.373
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,120,0.47,8.0,1.37,95.85
"Stroke; Patients; Cerebral Hemorrhage",TC.138,114,0.5,130.4,8.92,89.157
"Epilepsy; Seizures; Electroencephalography",TC.73,112,0.45,28.2,1.54,90.763
"Breast Neoplasms; Genetic Testing; Risk",TC.587,106,1.07,-25.8,2.53,80.991
"Radiotherapy; Radiation; Intensity-Modulated Radiotherapy",TC.322,105,0.77,33.1,1.31,71.017
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,104,0.36,71.2,2.51,90.361
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,103,0.28,-7.3,1.96,97.724
"Cholesterol; Lipids; Atherosclerosis",TC.79,103,0.44,2.3,1.18,94.444
"HIV; HIV Infections; HIV-1",TC.17,99,0.24,10.7,1.35,96.386
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,96,0.31,100.2,1.5,93.106
"Sarcopenia; Patients; Aged",TC.782,96,0.98,-52.3,2.98,82.129
"Hearing; Hearing Loss; Cochlear Implants",TC.66,92,0.38,16.8,1.5,87.483
"Monetary Policy; Economic Growth; Exports",TC.21,92,0.22,-30.0,0.84,90.094
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,91,0.37,32.0,1.78,93.976
"Obesity; Leptin; Adiponectin",TC.257,88,0.51,-4.3,2.92,91.633
"PPAR Gamma; AMP-Activated Protein Kinases; Lipids",TC.434,86,0.97,-13.3,1.53,80.723
"Alcohols; Cannabis; Drinking",TC.174,86,0.5,-36.4,1.51,84.94
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,85,0.18,-55.4,2.01,98.26
"Brain Injuries; Wounds And Injuries; Patients",TC.258,84,0.49,47.8,1.08,87.015
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,84,0.28,46.6,1.49,95.783
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,83,0.17,47.6,1.77,99.665
"Child; Adolescent; Schools",TC.99,82,0.29,-9.2,1.08,93.307
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,80,0.63,-13.4,1.21,77.309
"Health; Delivery Of Health Care; Women",TC.424,77,0.55,3.8,1.47,76.908
"Delivery Of Health Care; Patients; Hospitals",TC.160,76,0.36,-13.8,1.29,86.078
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,76,0.18,-8.2,3.89,99.398
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,75,0.2,50.0,1.96,94.578
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,74,0.51,-49.8,2.91,78.581
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,73,0.79,0.5,1.09,66.399
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,73,0.57,6.5,1.85,86.145
"Proteins; Exercise; Muscle Proteins",TC.1236,72,2.86,-49.6,3.24,48.126
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,72,0.47,-11.9,1.96,82.798
"Models; Risks; Finance",TC.54,71,0.2,-58.2,1.4,90.027
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,71,1.03,-13.6,1.54,62.985
"Health; Costs And Cost Analysis; Neoplasms",TC.584,69,0.64,80.2,2.03,72.892
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,68,0.46,162.0,2.07,85.877
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,67,0.43,19.9,3.0,88.688
"DNA Methylation; Epigenomics; Neoplasms",TC.478,67,0.47,139.8,2.16,91.968
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,66,0.54,32.3,1.92,84.739
"Radiation; Tomography; Medical Imaging",TC.245,66,0.37,47.3,2.02,79.116
"Students; Teaching; Education; E-Learning",TC.200,65,0.28,11.8,3.3,86.278
