Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Renmin University of China"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Semantics; Models; Recommender Systems",TC.37,169,0.31,16.0,1.38,96.319
"China; Chinese; Hong Kong",TC.471,168,1.64,3.5,0.99,48.862
"Monetary Policy; Economic Growth; Exports",TC.21,164,0.39,0.3,0.67,90.094
"Database Systems; Ontology; Query Processing",TC.143,150,0.54,-37.2,1.01,86.881
"Estimator; Models; Variable Selection",TC.74,145,0.49,53.6,0.45,83.601
"Models; Risks; Finance",TC.54,141,0.4,-21.7,0.79,90.027
"Superconductors (Materials); Superconducting Materials; Superconductivity",TC.50,123,0.7,27.0,1.69,89.29
"Electricity; Energy; Economics",TC.81,116,0.32,31.3,1.73,98.594
"Work; Personality; Psychology",TC.29,111,0.28,-45.8,1.32,96.452
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,104,0.33,-1.6,1.7,92.905
"Industry; Innovation; Entrepreneurship",TC.24,82,0.18,50.3,1.4,97.256
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,82,0.23,50.2,1.16,99.063
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,81,0.14,-39.0,1.19,96.519
"Algorithms; Computer Vision; Models",TC.0,78,0.06,1.3,1.52,99.465
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,72,0.1,79.6,3.84,99.866
"China; Chinese; Qing",TC.677,71,0.95,86.0,0.66,13.119
"Cryptography; Authentication; Data Privacy",TC.84,70,0.17,49.5,1.78,93.24
"Models; Social Networking (Online); Algorithms",TC.358,68,0.28,-11.2,1.44,89.023
"Industry; Research; Marketing",TC.36,61,0.16,-20.0,0.73,96.586
"Insulators; Quantum Dots; Spin",TC.186,55,0.31,938.1,1.7,93.775
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,52,0.06,17.5,1.49,99.933
"Decision Making; Fuzzy Sets; Models",TC.211,51,0.25,24.2,1.76,88.621
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,50,0.09,-12.8,1.78,99.799
"Atoms; Bose-Einstein Condensates; Gases",TC.332,50,0.46,52.2,1.55,81.392
"Data Envelopment Analysis; Banks; Efficiency",TC.384,42,0.31,-0.2,1.12,79.25
"Land Use; Models; Rural Areas",TC.558,38,0.43,-57.2,0.75,57.363
"Supply Chains; Supply Chain Management; Industry",TC.146,38,0.15,59.1,0.77,95.382
"Phosphors; Luminescence; Light Emission",TC.91,36,0.13,424.0,1.44,96.252
"Ozonization; Degradation; Wastewater Treatment",TC.206,36,0.14,84.6,1.25,98.728
"Traffic Control; Transportation; Models",TC.107,35,0.1,130.8,1.05,93.708
"Microfinance; Farmers; Cooperative",TC.532,35,0.4,-32.8,1.07,57.764
"Agents; Game Theory; Models",TC.173,34,0.15,8.6,0.41,81.058
"Classification (Of Information); Learning Systems; Algorithms",TC.195,34,0.13,-63.9,0.85,88.487
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,34,0.05,975.5,3.89,100.0
"Ionic Liquids; Eutectics; Negative Ions",TC.847,32,0.33,-75.4,1.55,92.102
"Manifold; Curvature; Metric",TC.158,31,0.15,64.6,2.0,63.788
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,31,0.07,-72.7,1.65,93.173
"China; Asia; Chinese",TC.495,31,0.3,30.8,0.66,42.503
"Chinese Traditional Medicine; Chinese Herbal Drugs; Rats",TC.762,29,0.39,-64.8,0.16,59.103
"Ligands; Crystal Structure; Organometallics",TC.71,27,0.08,-7.0,0.52,99.331
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,27,0.06,-37.2,1.39,99.598
"Knowledge Management; Industry; Research",TC.325,25,0.21,30.7,0.92,67.47
"Taxes; Tax Evasion; Tax Compliance",TC.920,25,0.48,34.6,0.8,28.916
"Biosensors; Electrodes; Voltammetry",TC.128,25,0.09,-12.8,1.29,98.996
"Morals; Research; Behavior",TC.267,24,0.13,79.9,0.82,88.019
"Computer Crime; Network Security; Intrusion Detection",TC.218,24,0.08,-64.6,1.19,88.822
"Housing; Neighborhood; Gentrification",TC.281,23,0.16,-100.0,0.63,74.565
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,23,0.03,26.6,0.39,97.523
"Tourism; Tourists; Destination",TC.239,22,0.12,-41.7,1.51,85.743
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,22,0.04,207.4,1.32,99.531
"Mercury; Mercury (Element); Methylmercury",TC.835,21,0.41,-,1.13,65.863
"Predator Prey Systems; Epidemic Model; Predator-Prey Model",TC.561,21,0.23,-,2.55,61.58
"Forest; Deforestation; Conservation",TC.663,21,0.24,73.7,1.78,75.1
"Water; Water Resources; Water Management",TC.527,20,0.2,-9.3,1.69,79.585
"Research; Technology; Industry",TC.637,20,0.2,4.8,0.82,70.281
"HIV; HIV Infections; HIV-1",TC.17,20,0.05,-100.0,0.96,96.386
"Photosystem II Protein Complex; Photosynthesis; Chlorophyll",TC.329,19,0.22,142.0,0.47,83.668
"Health; Delivery Of Health Care; Women",TC.424,19,0.14,124.9,0.98,76.908
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,19,0.05,-47.7,0.55,96.185
"Graph In Graph Theory; Coloring; Graphic Methods",TC.262,19,0.12,-30.5,0.93,59.505
"Language; Reading; Semantics",TC.88,18,0.07,-8.0,0.65,89.491
"Carnivores; Ungulates; Deer",TC.224,17,0.13,248.2,0.31,81.124
"Metallic Glass; Amorphous Alloys; Alloys",TC.361,17,0.17,88.8,1.48,86.68
"Catalysts; Zeolites; Hydrogenation",TC.7,17,0.03,164.9,1.62,99.732
"Education; Wages; Inequality",TC.657,17,0.2,143.5,0.76,59.973
"Clustering Algorithms; Data Mining; Cluster Analysis",TC.740,17,0.21,-100.0,0.2,50.669
"Cellulose; Lignin; Cellulases",TC.119,17,0.07,-,1.59,98.126
"Ligands; Ruthenium; Catalysts",TC.75,17,0.1,-,3.13,97.791
"Child; Adolescent; Schools",TC.99,16,0.06,61.4,0.9,93.307
"Inequality; Boundedness; Morrey Space",TC.668,16,0.26,129.2,1.35,16.198
"Career; Students; Schools",TC.1133,16,0.45,42.5,3.73,28.983
"Science; Risks; Nanotechnology",TC.550,15,0.16,-80.4,2.29,71.687
"Migration; Migrant; Immigrant",TC.419,15,0.12,159.9,0.57,59.572
"Arabidopsis; Plants; Genes",TC.11,15,0.03,-57.1,1.28,98.862
"Attention; Brain; Learning",TC.10,15,0.03,-,1.06,98.193
"Gambling; Internet; Students",TC.555,15,0.12,6.7,1.92,87.751
"Membranes; Desalination; Ultrafiltration",TC.223,15,0.08,-100.0,0.63,97.925
"Party; Election; Voter",TC.172,14,0.06,-,1.01,78.179
"Emotions; Anxiety; Depression",TC.167,14,0.06,95.8,0.98,95.515
"Rough Set Theory; Algorithms; Formal Concept Analysis",TC.751,14,0.21,42.5,0.63,53.146
"Governance; Government; Public Services",TC.611,14,0.18,-1.3,0.77,54.685
"Gravitation; Black Holes (Astronomy); Models",TC.15,13,0.03,-100.0,1.36,95.716
