Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"National Cheng Kung University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,593,0.68,-58.8,1.44,99.933
"Gallium Nitride; Light Emitting Diodes; High Electron Mobility Transistors",TC.208,328,1.78,-33.9,0.66,87.149
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,240,0.32,-19.2,1.12,99.866
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,221,0.3,-55.2,1.16,98.461
"Algorithms; Computer Vision; Models",TC.0,219,0.16,-36.7,0.72,99.465
"Memristors; MOSFET Devices; Data Storage Equipment",TC.131,211,0.89,-47.3,0.9,90.295
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,184,0.23,1.3,2.73,97.523
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,163,0.39,-72.1,0.6,99.598
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,156,0.29,-53.1,1.05,99.531
"Microfluidics; Fluidic Devices; Microchannels",TC.197,147,0.71,-78.8,1.2,95.917
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,141,0.24,-13.2,1.07,96.519
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,134,0.65,31.9,0.57,88.889
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,125,0.33,-35.0,1.19,96.185
"Nanocrystals; Semiconductor Quantum Dots; Zinc Sulfide",TC.177,122,0.48,-44.0,0.74,97.456
"Algae; Microalgae; Biodiesel",TC.517,121,1.04,-33.2,2.08,92.637
"Soldering Alloys; Electronics Packaging; Soldering",TC.292,118,0.83,5.2,0.86,68.206
"Industry; Research; Marketing",TC.36,112,0.3,-55.4,1.12,96.586
"Waves; Water Waves; Wave Energy Conversion",TC.284,109,0.82,-47.5,0.78,75.77
"Control; Controllers; Linear Matrix Inequalities",TC.9,108,0.19,-52.7,0.63,96.921
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,107,0.14,-20.9,1.41,100.0
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,101,0.22,48.5,1.31,98.26
"Stroke; Gait; Rehabilitation",TC.48,101,0.25,-42.4,0.73,96.787
"Magnetic Fields; Ionospheres; Sunspots",TC.31,101,0.41,21.8,0.7,87.282
"Gasification; Pyrolysis; Coal",TC.87,100,0.32,105.6,1.68,98.527
"Liquid Crystals; Nematic Liquid Crystals; Liquid Crystal Displays",TC.220,99,0.87,44.1,0.65,81.325
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,98,0.35,-23.7,0.78,96.118
"Speech; Speech Recognition; Models",TC.156,98,0.42,-61.7,0.66,82.999
"Catalysts; Zeolites; Hydrogenation",TC.7,81,0.15,-27.1,1.12,99.732
"Antennas; Slot Antennas; Microwave Antennas",TC.55,81,0.18,-60.1,0.75,91.031
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,80,0.19,-13.6,0.82,93.173
"Traffic Control; Transportation; Models",TC.107,80,0.23,-56.5,0.84,93.708
"Heat Transfer; Nusselt Number; Natural Convection",TC.142,77,0.32,-38.1,1.8,96.72
"Power Amplifiers; CMOS Integrated Circuits; Variable Frequency Oscillators",TC.122,76,0.33,-32.1,0.62,73.762
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,74,0.24,20.7,0.66,92.905
"Design; Networks (Circuits); Field Programmable Gate Arrays (FPGA)",TC.148,73,0.39,-21.6,0.7,62.784
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,73,0.4,-48.9,1.68,85.609
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,73,0.47,49.5,1.05,94.311
"Data Mining; Algorithms; Association Rules",TC.846,71,0.99,-78.5,2.23,52.61
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,70,0.23,10.8,1.25,87.818
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,69,0.35,-88.4,0.76,94.511
"Alzheimer Disease; Dementia; Amyloid",TC.32,69,0.17,-29.3,1.02,98.795
"Decay; Quarks; Neutrinos",TC.6,68,0.14,72.1,1.76,98.394
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,68,0.11,-62.6,1.81,99.13
"Ozonization; Degradation; Wastewater Treatment",TC.206,67,0.27,-20.5,1.65,98.728
"Microstructure; Steel; Austenite",TC.20,67,0.16,-34.4,0.46,97.323
"Biosensors; Electrodes; Voltammetry",TC.128,65,0.24,-6.1,0.92,98.996
"Landslides; Debris Flow; Slope Stability",TC.553,65,0.63,-53.9,0.62,69.076
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,64,0.22,9.9,1.7,95.448
"Piles; Soils; Geotechnical Engineering",TC.64,60,0.17,22.3,0.55,87.684
"Semantics; Models; Recommender Systems",TC.37,60,0.11,-55.3,0.58,96.319
"Dengue; Viruses; Dengue Virus",TC.170,60,0.26,-45.3,1.38,98.327
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,59,0.16,-20.1,1.18,97.724
"Polypropylenes; Lactic Acid; Blending",TC.69,58,0.23,-33.7,0.68,95.649
