Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"The Chinese University of Hong Kong, Shenzhen"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,40,0.06,-,2.21,99.13
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,39,0.05,1317.5,1.3,97.523
"Algorithms; Computer Vision; Models",TC.0,38,0.03,89.9,1.97,99.465
"Arabidopsis; Plants; Genes",TC.11,35,0.08,50.1,1.48,98.862
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,29,0.07,-51.7,2.99,99.398
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,27,0.13,-,3.21,93.44
"Cells; Drosophila; Neoplasms",TC.110,23,0.1,-28.3,1.13,94.645
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,21,0.04,-,0.36,99.531
"Multi Agent Systems; Motion Planning; Robots",TC.285,20,0.09,-16.9,2.55,87.416
"HIV; HIV Infections; HIV-1",TC.17,15,0.04,-,1.19,96.386
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,15,0.05,405.8,1.59,97.657
"Propulsion; Communication; Liquid Metals",TC.1342,14,0.24,-,1.45,79.384
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,14,0.03,-18.2,3.09,93.173
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,12,0.02,-,1.48,99.866
"Climate Models; Model; Rainfall",TC.5,11,0.02,-80.5,0.91,98.929
"Speech; Speech Recognition; Models",TC.156,11,0.05,-,1.12,82.999
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,11,0.05,-57.8,1.36,93.373
"Semantics; Models; Recommender Systems",TC.37,11,0.02,-60.9,5.8,96.319
"Synthesis (Chemical); Derivatives; Rings (Components)",TC.915,11,0.36,99.3,1.01,63.387
"Geographic Information Systems; Maps; Models",TC.515,11,0.12,-42.4,2.66,55.355
"Fault Detection; Process Monitoring; Principal Component Analysis",TC.899,11,0.19,-,2.26,49.531
"Syndrome; Intellectual Disability; Genes",TC.441,10,0.13,250.4,0.98,55.823
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,10,0.01,-,3.18,99.933
"Control; Controllers; Linear Matrix Inequalities",TC.9,10,0.02,-100.0,0.38,96.921
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,9,0.03,-,1.11,95.114
"Robots; Robotics; Manipulators",TC.101,9,0.03,457.1,0.38,88.956
"Magnetic Resonance Imaging; Image Segmentation; Medical Imaging",TC.507,9,0.08,-,1.15,69.88
"Transforming Growth Factor Beta; Fibrosis; Neoplasms",TC.904,9,0.16,-53.9,1.95,65.395
"Bone And Bones; Osteoporosis; Bone Density",TC.45,9,0.03,6.1,1.06,92.972
"Traffic Control; Transportation; Models",TC.107,8,0.02,-74.4,7.66,93.708
"Classification (Of Information); Learning Systems; Algorithms",TC.195,8,0.03,217.9,2.34,88.487
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,8,0.02,-,1.17,99.665
"Tides; Ocean; Ocean Currents",TC.252,8,0.06,-,1.08,79.652
"Stroke; Gait; Rehabilitation",TC.48,7,0.02,-,0.65,96.787
"DNA Methylation; Epigenomics; Neoplasms",TC.478,7,0.05,-100.0,1.37,91.968
"Ultrasonics; Elasticity Imaging Techniques; Ultrasonic Imaging",TC.428,7,0.06,-,1.17,75.837
"Autophagy; Sirolimus; Neoplasms",TC.627,7,0.05,-18.2,1.94,92.57
"Agents; Game Theory; Models",TC.173,7,0.03,-,3.13,81.058
