Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Alberta"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,592,1.23,23.7,4.06,98.394
"Obesity; Motor Activity; Child",TC.18,431,0.78,-0.1,1.94,99.197
"Reservoirs (Water); Oil Well Flooding; Hydraulic Fracturing",TC.164,358,1.36,9.0,2.89,84.07
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,327,0.87,-4.6,1.86,96.854
"Neoplasms; Patients; Palliative Care",TC.77,324,0.99,-4.6,1.8,95.047
"Galaxies; Stars; Planets",TC.1,313,0.49,20.5,2.75,99.264
"Crude Oil; Asphaltenes; Oil Sands",TC.629,306,4.22,17.5,1.43,65.997
"Control; Controllers; Linear Matrix Inequalities",TC.9,245,0.44,-35.6,1.44,96.921
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,231,0.29,-43.7,1.74,97.523
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,229,0.31,-19.4,2.93,98.461
"Spine; Patients; Low Back Pain",TC.23,224,0.54,-18.5,1.38,93.039
"Carnivores; Ungulates; Deer",TC.224,212,1.6,25.7,1.76,81.124
"Dinosaur; Cretaceous; Fossils",TC.375,207,3.41,-27.4,1.16,58.099
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,202,0.99,38.7,2.76,83.333
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,197,0.54,-7.0,3.05,97.724
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,190,0.61,-12.4,1.98,93.106
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,186,0.31,-56.4,1.58,96.519
"Language; Reading; Semantics",TC.88,183,0.75,30.6,1.74,89.491
"Soil; Biochar; Soil Organic Carbon",TC.35,182,0.56,-21.8,1.59,98.059
"Stroke; Gait; Rehabilitation",TC.48,175,0.44,-6.0,1.58,96.787
"Students; Medical Students; Education",TC.43,173,0.43,47.4,1.29,91.901
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,173,0.71,41.4,2.93,93.976
"Industry; Innovation; Entrepreneurship",TC.24,162,0.35,-8.9,4.9,97.256
"Algorithms; Computer Vision; Models",TC.0,159,0.12,-13.5,1.42,99.465
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,159,1.29,-6.1,2.82,84.739
"Construction; Construction Industry; Project Management",TC.295,158,0.97,-40.6,1.15,85.007
"Orthodontics; Malocclusion; Temporomandibular Joint",TC.236,151,1.06,6.5,1.07,63.989
"Forests; Landscapes; Plants",TC.151,150,0.68,30.6,1.81,94.712
"Glaciers; Holocene; Glacial Geology",TC.103,150,0.91,-51.4,2.59,91.098
"Fires; Forests; Wildfires",TC.278,148,1.36,12.0,1.72,77.778
"Metagenome; Probiotics; Bacteria",TC.215,147,0.63,91.5,3.95,98.661
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,146,1.01,-14.4,2.16,78.581
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,145,0.64,23.9,2.04,91.165
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,142,0.91,7.8,1.55,81.995
"Seismic Waves; Seismology; Seismic Data",TC.371,140,0.87,-21.2,1.55,51.138
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,139,0.22,37.1,1.91,99.13
"Sepsis; Acute Kidney Injury; Patients",TC.251,138,0.74,32.9,3.19,88.153
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,133,0.48,-2.1,1.25,94.177
"Cambrian; Cretaceous; Ordovician",TC.44,133,1.15,-38.0,1.01,75.502
"Pregnancy; Pre-Eclampsia; Women",TC.85,131,0.55,25.8,1.68,90.696
"Alzheimer Disease; Dementia; Amyloid",TC.32,131,0.33,132.7,1.76,98.795
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,130,0.47,33.8,1.48,93.641
"Bone And Bones; Osteoporosis; Bone Density",TC.45,129,0.46,-2.0,1.7,92.972
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,128,0.23,-77.8,1.37,99.531
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,127,0.98,22.6,1.63,76.305
"Classification (Of Information); Learning Systems; Algorithms",TC.195,125,0.49,-68.2,1.65,88.487
"Stroke; Patients; Cerebral Hemorrhage",TC.138,124,0.54,18.5,5.8,89.157
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,124,0.98,1.7,1.78,77.309
"Decision Making; Fuzzy Sets; Models",TC.211,121,0.59,75.6,2.63,88.621
"Magnetic Fields; Ionospheres; Sunspots",TC.31,121,0.49,-44.7,1.59,87.282
"Birds; Nests; Seabirds",TC.41,121,0.59,19.8,1.17,89.759
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,118,0.41,-17.6,1.77,95.448
"Antennas; Slot Antennas; Microwave Antennas",TC.55,117,0.26,154.9,1.51,91.031
"Dairy Cows; Cows; Mastitis",TC.136,116,0.73,59.8,1.69,80.857
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,116,0.36,32.5,1.69,92.303
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,115,0.32,-1.2,1.57,99.063
"Liver Transplantation; Liver; Fibrosis",TC.144,113,0.64,145.7,1.56,81.526
"Sarcopenia; Patients; Aged",TC.782,110,1.13,19.9,3.46,82.129
