Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Bergen"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,775,1.61,8.2,3.74,98.394
"Climate Models; Model; Rainfall",TC.5,303,0.5,18.8,1.72,98.929
"Graph In Graph Theory; Coloring; Graphic Methods",TC.262,287,1.78,-22.4,1.87,59.505
"Glaciers; Holocene; Glacial Geology",TC.103,257,1.56,-36.2,2.66,91.098
"Oceans; Lakes; Dissolved Organic Matter",TC.52,243,0.97,-6.6,2.73,95.984
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,183,0.49,-58.2,1.36,96.854
"Fisheries; Sharks; Fish",TC.63,141,0.65,-14.3,1.54,90.228
"Magnetic Fields; Ionospheres; Sunspots",TC.31,139,0.56,47.8,1.26,87.282
"Tides; Ocean; Ocean Currents",TC.252,137,1.1,62.0,1.96,79.652
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,126,0.45,27.0,2.33,94.177
"Pregnancy; Pre-Eclampsia; Women",TC.85,122,0.51,3.9,2.56,90.696
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,119,0.39,-19.9,2.06,95.783
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,105,1.21,-45.9,1.78,72.825
"Basin; Reservoir; Shale",TC.213,105,0.67,7.6,1.58,77.577
"Neoplasms; Patients; Palliative Care",TC.77,105,0.32,-12.3,1.59,95.047
"Work; Personality; Psychology",TC.29,103,0.26,-46.4,1.84,96.452
"HIV; HIV Infections; HIV-1",TC.17,98,0.24,-5.9,1.76,96.386
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,97,0.19,-22.7,1.82,99.665
"Multiple Sclerosis; Patients; Neuromyelitis Optica",TC.304,90,0.6,5.0,2.11,87.952
"Obesity; Motor Activity; Child",TC.18,87,0.16,-18.2,5.74,99.197
"Rivers; Fish; Streams",TC.149,86,0.57,-21.2,1.38,82.53
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,85,0.37,15.6,1.48,92.236
"Arthroplasty; Hip; Knee",TC.123,82,0.32,-11.5,1.83,87.349
"Corals; Coral Reefs; Cnidaria",TC.399,76,0.9,79.4,1.51,80.388
"Spine; Patients; Low Back Pain",TC.23,76,0.18,5.5,1.38,93.039
"Students; Medical Students; Education",TC.43,73,0.18,4.0,2.2,91.901
"Reservoirs (Water); Oil Well Flooding; Hydraulic Fracturing",TC.164,72,0.27,76.2,2.58,84.07
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,72,0.26,-47.9,0.96,91.232
"Media; News; Journalism",TC.279,72,0.37,-19.6,3.73,81.593
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,71,0.43,-11.5,2.49,84.003
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,66,0.3,17.3,1.35,92.436
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,66,0.23,57.5,2.12,92.035
"Oral Health; Periodontitis; Dental Caries",TC.125,65,0.31,-39.6,1.35,84.605
"Stroke; Patients; Cerebral Hemorrhage",TC.138,63,0.28,-1.3,1.01,89.157
"Decoding; Construction; Polynomials",TC.766,63,1.04,-6.2,1.61,22.557
"Child; Adolescent; Schools",TC.99,62,0.22,41.2,1.53,93.307
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,61,0.62,9.2,1.14,73.494
"Emotions; Anxiety; Depression",TC.167,60,0.25,9.7,1.24,95.515
"Fossils; Pleistocene; Paleolithic",TC.127,60,0.42,68.7,2.86,80.522
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,60,0.16,-17.1,3.71,97.724
"Malaria; Plasmodium Falciparum; Parasites",TC.180,59,0.35,-5.5,1.19,89.424
"European Union (EU); Europe; Governance",TC.505,59,0.53,-62.9,2.98,46.319
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,58,0.25,-27.6,2.03,91.432
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,57,0.15,49.1,3.72,94.913
"Health; Delivery Of Health Care; Women",TC.424,57,0.41,162.4,11.09,76.908
"Blood; Blood Transfusion; Patients",TC.272,57,0.45,-17.8,2.66,74.297
"Forests; Landscapes; Plants",TC.151,56,0.25,-4.2,2.58,94.712
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,56,0.44,15.5,1.93,77.309
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,55,0.19,-23.2,2.75,90.361
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,54,0.79,163.7,2.69,67.805
"Health; Socioeconomic Factors; Mortality",TC.537,53,0.53,62.8,1.41,75.301
"Laboratories; Patients; Medicine",TC.789,53,0.82,94.8,2.44,49.264
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,51,0.26,-11.8,1.68,89.625
"Proteomics; Mass Spectrometry; Proteins",TC.227,51,0.31,73.2,1.94,92.503
"Hydrates (Gas); Hydration; Methane",TC.1103,51,1.03,140.9,0.94,60.977
"Detectors; High Energy Physics; Readout Systems",TC.560,50,0.62,69.2,2.98,45.716
"Fishes; Fish Diseases; Aquaculture",TC.487,50,0.66,23.3,1.3,73.092
"Finite Element Method; Galerkin Methods; Errors",TC.154,50,0.24,133.6,2.2,80.321
"Tooth; Bone And Bones; Dentin",TC.14,48,0.11,13.2,1.48,94.378
"Party; Election; Voter",TC.172,48,0.21,-20.2,1.13,78.179
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,47,0.18,66.4,2.99,95.85
"Parasites; Fishes; Myxozoa",TC.343,45,0.72,51.7,1.49,45.85
"Alzheimer Disease; Dementia; Amyloid",TC.32,44,0.11,-33.2,1.86,98.795
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,44,0.64,-70.4,0.94,74.498
"Health; Costs And Cost Analysis; Neoplasms",TC.584,43,0.4,18.5,4.32,72.892
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,43,0.09,113.9,2.04,98.26
"Kant; Theory; Epistemic",TC.152,42,0.18,33.1,1.34,50.87
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,42,0.19,-43.8,4.16,93.373
"Pain; Neuralgia; Chronic Pain",TC.140,42,0.21,70.1,1.88,90.562
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,42,0.25,82.3,1.31,83.936
"Algebra; Category; Module",TC.38,41,0.16,-22.1,1.04,56.56
"Obesity; Leptin; Adiponectin",TC.257,41,0.24,-40.2,2.51,91.633
"Algorithms; Computer Vision; Models",TC.0,41,0.03,-64.5,1.31,99.465
"Music; Music Therapy; Art",TC.1039,41,0.91,-64.5,1.85,39.826
"Alcohols; Cannabis; Drinking",TC.174,41,0.24,186.3,1.17,84.94
"Health; Research; Income",TC.1068,40,0.62,55.9,39.3,60.71
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,40,0.14,59.3,2.48,89.893
"Myasthenia Gravis; Thymoma; Encephalitis",TC.810,40,0.64,102.4,2.25,51.205
"Gambling; Internet; Students",TC.555,39,0.31,79.2,3.66,87.751
"Benthic Foraminifera; Planktonic Foraminifera; Paleoceanography",TC.773,39,0.97,-46.5,11.28,59.371
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,39,0.18,1.3,1.24,94.846
"Lichens; Soil Crusts; Ascomycota",TC.784,39,0.98,-27.3,0.66,41.834
"Epilepsy; Seizures; Electroencephalography",TC.73,39,0.16,-42.8,1.78,90.763
"Gastropoda; Mollusca; Bivalvia",TC.888,39,1.88,5.0,1.09,18.206
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,38,0.21,150.1,4.4,83.802
"Juveniles; Oreochromis Niloticus; Litopenaeus Vannamei",TC.368,38,0.46,-67.5,1.44,67.068
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,38,0.31,58.8,4.95,84.739
"Hydrocarbons; Deposits; Basin",TC.1407,37,2.2,-19.4,0.99,10.308
"Breast Neoplasms; Tamoxifen; Estrogen Receptors",TC.439,37,0.53,-1.4,0.88,71.553
