Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Bristol"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,833,1.73,19.4,4.19,98.394
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,394,1.04,-5.0,1.66,96.185
"Obesity; Motor Activity; Child",TC.18,360,0.65,-19.5,2.84,99.197
"Composite Materials; Laminates; Fiber Reinforced Plastics",TC.183,316,1.63,-1.7,1.92,86.613
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,245,0.65,-13.4,1.96,96.854
"Climate Models; Model; Rainfall",TC.5,244,0.4,-0.9,2.8,98.929
"Volcanoes; Volcanic Eruption; Volcanology",TC.465,244,3.67,2.6,1.6,70.415
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,232,0.87,-16.8,2.28,87.216
"Glaciers; Holocene; Glacial Geology",TC.103,228,1.39,-13.6,2.78,91.098
"Cambrian; Cretaceous; Ordovician",TC.44,211,1.83,-14.4,1.76,75.502
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,196,1.36,6.0,7.36,78.581
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,192,0.62,83.7,2.22,97.59
"Dinosaur; Cretaceous; Fossils",TC.375,192,3.16,-19.5,1.42,58.099
"Wings; Aircraft; Aerodynamics",TC.714,188,2.33,13.8,2.72,51.807
"Prime; Integer; Conjecture",TC.291,186,1.65,-4.1,1.38,24.565
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,181,0.23,86.3,2.09,97.523
"Galaxies; Stars; Planets",TC.1,163,0.25,-30.1,1.95,99.264
"Algorithms; Computer Vision; Models",TC.0,156,0.12,-21.9,1.43,99.465
"Cryptography; Authentication; Data Privacy",TC.84,150,0.37,-45.2,2.64,93.24
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,148,0.27,45.3,2.18,99.799
"HIV; HIV Infections; HIV-1",TC.17,136,0.33,48.6,2.55,96.386
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,136,1.1,16.1,1.72,74.699
"Attention; Brain; Learning",TC.10,131,0.29,-15.4,1.26,98.193
"Alzheimer Disease; Dementia; Amyloid",TC.32,126,0.32,29.5,2.37,98.795
"Cholesterol; Lipids; Atherosclerosis",TC.79,120,0.51,109.3,5.99,94.444
"Smoking; Tobacco Products; Smoking Cessation",TC.205,119,0.63,24.1,1.81,89.826
"Bone And Bones; Osteoporosis; Bone Density",TC.45,115,0.41,29.7,1.71,92.972
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,113,1.13,53.3,5.53,84.203
"Estimator; Models; Variable Selection",TC.74,111,0.37,8.7,1.65,83.601
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,109,0.35,140.2,2.02,93.106
"Child; Adolescent; Schools",TC.99,107,0.38,-9.8,1.77,93.307
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,104,0.52,256.5,1.8,80.054
"Block Copolymers; Micelles; Polymers",TC.112,99,0.45,-42.1,2.09,97.858
"Gallium Nitride; Light Emitting Diodes; High Electron Mobility Transistors",TC.208,99,0.54,1.2,2.03,87.149
"Earthquakes; Seismology; Seismic Response",TC.226,99,0.5,27.9,0.97,79.786
"Hausdorff Dimension; Map; Entropy",TC.599,98,1.49,-13.3,0.78,19.545
"Dogs; Cats; Neoplasms",TC.326,98,1.07,52.2,1.55,45.181
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,96,0.4,15.7,3.78,93.976
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,95,0.57,9.9,2.31,91.365
"Detectors; High Energy Physics; Readout Systems",TC.560,95,1.17,49.3,3.21,45.716
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,95,0.43,-20.4,3.34,94.846
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,94,0.13,97.9,1.97,98.461
"Chiroptera; Bat; Rodents",TC.296,93,1.21,-9.8,2.03,59.036
"Piles; Soils; Geotechnical Engineering",TC.64,92,0.27,90.5,1.87,87.684
"Students; Medical Students; Education",TC.43,90,0.22,-27.9,1.09,91.901
"Benthic Foraminifera; Planktonic Foraminifera; Paleoceanography",TC.773,89,2.2,-22.4,6.49,59.371
"Horses; Horse Diseases; Exercise",TC.452,89,1.4,-48.1,1.42,38.153
"Party; Election; Voter",TC.172,88,0.38,-64.3,1.55,78.179
"Kant; Theory; Epistemic",TC.152,87,0.37,-33.5,1.35,50.87
"Pregnancy; Pre-Eclampsia; Women",TC.85,87,0.36,5.2,2.05,90.696
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,86,0.12,-20.2,1.08,99.866
"Research; Clinical Trials As Topic; Patients",TC.463,86,0.84,21.0,1.83,62.048
"Neoplasms; Patients; Palliative Care",TC.77,86,0.26,-2.5,1.82,95.047
"Guided Electromagnetic Wave Propagation; Structural Health Monitoring; Ultrasonic Waves",TC.520,85,0.92,-50.8,1.28,60.509
"Arthroplasty; Hip; Knee",TC.123,84,0.32,-20.8,2.17,87.349
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,84,0.29,-29.2,2.67,95.114
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,82,0.21,22.3,1.32,94.913
"Pain; Neuralgia; Chronic Pain",TC.140,82,0.42,113.7,2.04,90.562
"Language; Reading; Semantics",TC.88,81,0.33,-8.0,1.74,89.491
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,81,0.34,2.1,5.29,94.779
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,80,0.86,9.4,2.76,73.829
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,79,0.28,171.0,1.93,94.177
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,79,0.34,25.9,1.54,92.236
"Oxytocin; Hydrocortisone; Anxiety",TC.432,76,0.91,-38.2,1.54,82.664
"Housing; Neighborhood; Gentrification",TC.281,76,0.51,-66.5,2.16,74.565
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,74,0.59,-13.4,2.47,77.309
"Tooth; Bone And Bones; Dentin",TC.14,74,0.17,-22.0,1.67,94.378
"Teacher; School; Education",TC.150,74,0.35,-50.3,1.56,74.967
"Violence; Women; Child",TC.310,74,0.53,-59.2,2.08,78.782
"Health; Costs And Cost Analysis; Neoplasms",TC.584,74,0.68,-9.0,2.63,72.892
"Work; Personality; Psychology",TC.29,72,0.18,-5.2,3.68,96.452
