Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Massachusetts"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,703,1.46,43.4,3.71,98.394
"Galaxies; Stars; Planets",TC.1,524,0.81,-9.6,3.76,99.264
"Cheeses; Caseins; Milk",TC.178,257,1.62,18.4,2.68,93.842
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,189,0.45,64.1,2.83,99.598
"Semantics; Models; Recommender Systems",TC.37,140,0.26,2.4,3.43,96.319
"Birds; Nests; Seabirds",TC.41,129,0.62,11.6,2.01,89.759
"Obesity; Motor Activity; Child",TC.18,128,0.23,36.4,1.87,99.197
"Nanoparticles; Metal Nanoparticles; Nanostructures",TC.700,120,0.88,-10.6,2.78,94.98
"Block Copolymers; Micelles; Polymers",TC.112,109,0.5,-29.0,1.77,97.858
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,97,0.23,-0.9,2.8,93.173
"Cryptography; Authentication; Data Privacy",TC.84,96,0.24,54.5,2.83,93.24
"Rivers; Fish; Streams",TC.149,96,0.64,78.8,1.74,82.53
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,95,0.35,-16.8,3.03,87.216
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,94,0.26,-24.6,3.54,99.063
"Climate Models; Model; Rainfall",TC.5,90,0.15,-30.2,1.55,98.929
"Language; Reading; Semantics",TC.88,88,0.36,-8.0,1.59,89.491
"Gravitation; Black Holes (Astronomy); Models",TC.15,78,0.2,-12.0,1.85,95.716
"Morals; Research; Behavior",TC.267,77,0.42,8.0,1.96,88.019
"Atoms; Bose-Einstein Condensates; Gases",TC.332,76,0.7,3.6,1.18,81.392
"Arabidopsis; Plants; Genes",TC.11,76,0.17,0.1,1.73,98.862
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,76,0.1,20.6,2.06,99.866
"Algorithms; Computer Vision; Models",TC.0,73,0.05,35.7,6.09,99.465
"Drops; Hydrophobicity; Contact Angle",TC.374,72,0.46,-63.9,1.37,95.181
"Soil; Biochar; Soil Organic Carbon",TC.35,69,0.21,-37.2,2.73,98.059
"Monetary Policy; Economic Growth; Exports",TC.21,67,0.16,-21.3,1.54,90.094
"Exercise; Athletes; Muscles",TC.100,64,0.23,-13.8,1.11,92.369
"Glaciers; Holocene; Glacial Geology",TC.103,63,0.38,13.8,3.36,91.098
"Child; Adolescent; Schools",TC.99,63,0.22,54.0,1.13,93.307
"Ozonization; Degradation; Wastewater Treatment",TC.206,59,0.24,121.5,3.42,98.728
"Algebra; Category; Module",TC.38,58,0.22,-0.2,1.72,56.56
"Memristors; MOSFET Devices; Data Storage Equipment",TC.131,58,0.24,257.3,4.01,90.295
"Reinforcement Learning; Robots; Artificial Intelligence",TC.988,54,1.03,-20.3,1.47,33.333
"Carnivores; Ungulates; Deer",TC.224,54,0.41,-39.7,1.41,81.124
"Industry; Research; Marketing",TC.36,54,0.14,4.0,1.58,96.586
"Data Storage Equipment; Program Processors; Applications",TC.92,53,0.18,-70.9,1.84,81.928
"Catalysts; Zeolites; Hydrogenation",TC.7,53,0.1,-32.1,2.76,99.732
"Piles; Soils; Geotechnical Engineering",TC.64,52,0.15,-17.7,0.98,87.684
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,52,0.1,284.3,2.27,99.531
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,48,0.22,-25.7,0.96,94.846
"Database Systems; Ontology; Query Processing",TC.143,48,0.17,-32.4,2.14,86.881
