Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Nairobi"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"HIV; HIV Infections; HIV-1",TC.17,198,0.48,20.5,1.28,96.386
"Health; Delivery Of Health Care; Women",TC.424,57,0.41,-7.7,5.31,76.908
"HIV-1; HIV; HIV Infections",TC.188,47,0.34,-59.6,1.27,88.755
"Malaria; Plasmodium Falciparum; Parasites",TC.180,45,0.27,5.0,0.83,89.424
"Health; Research; Income",TC.1068,43,0.67,155.1,6.32,60.71
"Mental Health; Psychiatry; Depression",TC.661,34,0.42,-4.0,1.43,61.847
"Nigeria; Africa; African",TC.513,32,0.37,-29.0,0.6,23.092
"Farmers; Smallholder; Farms",TC.621,27,0.43,-53.6,0.79,55.422
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,27,0.29,50.8,0.87,66.399
"Ticks; Lyme Disease; Borrelia Burgdorferi",TC.269,25,0.22,45.1,1.29,75.368
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,24,0.17,8.8,1.03,82.396
"Microfinance; Farmers; Cooperative",TC.532,22,0.25,-1.3,0.73,57.764
"Conflict; Peace; War",TC.489,22,0.2,-45.0,0.95,51.874
"Melanoma; Retinoblastoma; Neoplasms",TC.1075,21,0.52,86.4,0.92,31.593
"Carnivores; Ungulates; Deer",TC.224,21,0.16,-27.5,1.1,81.124
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,20,0.11,-16.6,0.87,83.802
"Mycotoxins; Aflatoxins; Ochratoxins",TC.457,20,0.24,701.2,0.94,81.727
"Drosophila; Insects; Drosophila Melanogaster",TC.342,19,0.25,195.6,1.64,72.222
"Climate Models; Model; Rainfall",TC.5,18,0.03,-61.0,0.8,98.929
"Echinococcosis; Schistosomiasis; Parasites",TC.109,18,0.11,219.8,0.54,79.92
"Dengue; Viruses; Dengue Virus",TC.170,18,0.08,-,1.0,98.327
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,17,0.06,91.1,1.16,91.232
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,16,0.06,108.2,0.43,93.641
"Research; Technology; Industry",TC.637,16,0.16,-80.4,0.44,70.281
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,15,0.13,-31.8,0.89,72.557
"Students; Teaching; Education; E-Learning",TC.200,15,0.06,294.5,1.67,86.278
"Eye; Glaucoma; Cataract",TC.19,15,0.04,-1.1,6.92,90.83
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,15,0.04,-29.3,0.97,96.854
"Ethylenes; Apples; Fruit",TC.308,15,0.15,3.1,0.5,74.632
"Forest; Deforestation; Conservation",TC.663,15,0.17,117.1,0.96,75.1
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,14,0.06,-40.7,0.59,91.432
"Women; Cesarean Section; Parturition",TC.397,14,0.12,-35.4,5.39,67.202
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,14,0.09,-,3.39,82.798
"Viruses; Mosaic Viruses; Phytoplasma",TC.293,14,0.14,70.7,1.55,74.364
"Traffic Control; Transportation; Models",TC.107,13,0.04,515.4,1.23,93.708
"Morus; Flavonoids; Antioxidants",TC.1017,13,0.3,353.2,0.72,45.248
"Primates; Pan Troglodytes; Behavior",TC.350,13,0.14,-37.7,2.5,75.435
"Medicinal Plants; Plants; Ethnobotany",TC.565,12,0.16,214.0,1.06,58.166
"Pasteurella Multocida; Swine; Mycoplasma",TC.914,12,0.36,100.3,0.99,29.25
"Foot-And-Mouth Disease Virus; Bovine Viral Diarrhea Viruses; Swine",TC.1217,12,0.36,-42.9,1.54,35.408
"Electricity; Energy; Economics",TC.81,12,0.03,-26.6,0.73,98.594
"Rotavirus; Norovirus; Coronavirus",TC.403,12,0.11,46.7,2.03,81.66
"Child; Malnutrition; Food",TC.934,12,0.23,31.9,0.88,55.489
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,11,0.04,-100.0,0.55,90.428
"Africa; African; South Africa",TC.483,11,0.12,-17.2,0.67,34.337
"Disasters; Floods; Risks",TC.438,11,0.07,-21.3,1.16,83.467
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,11,0.03,77.6,2.18,97.724
"Fish; Brazil; Siluriformes",TC.730,11,0.23,-100.0,0.51,43.641
"Water; Water Resources; Water Management",TC.527,11,0.11,-,0.61,79.585
"Algorithms; Computer Vision; Models",TC.0,11,0.01,279.9,0.42,99.465
"Antioxidants; Hypoglycemic Agents; Fruit",TC.672,10,0.14,-100.0,0.84,58.835
"Models; Risks; Finance",TC.54,10,0.03,31.0,0.18,90.027
"Wounds And Injuries; Patients; Emergencies",TC.380,10,0.09,164.3,1.04,51.339
