Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Rochester"
Year range,2013 to 2018
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,1 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,1028,1.84,-4.7,3.49,98.394
"Inertial Confinement Fusion; Laser Produced Plasmas; Plasmas (Physics)",TC.312,505,3.72,6.1,1.86,65.06
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,327,0.69,-6.6,1.31,94.913
"Attention; Brain; Learning",TC.10,284,0.52,2.0,1.36,98.193
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,268,0.58,-35.9,1.03,96.185
"Galaxies; Stars; Planets",TC.1,258,0.34,46.8,2.22,99.264
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,251,0.89,48.1,2.34,91.432
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,237,0.75,43.4,3.15,90.428
"Neoplasms; Patients; Palliative Care",TC.77,198,0.48,-33.2,2.22,95.047
"Students; Medical Students; Education",TC.43,197,0.39,-17.0,1.59,91.901
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,192,1.27,-25.8,1.39,74.699
"RNA; Ribosomes; Proteins",TC.171,185,0.89,-25.0,1.36,95.315
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,183,1.56,-19.8,2.31,73.829
"Child; Adolescent; Schools",TC.99,176,0.48,0.8,1.64,93.307
"Algorithms; Computer Vision; Models",TC.0,162,0.09,4.9,2.49,99.465
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,149,0.48,-19.3,3.47,95.85
"Harmonic Generations; Ultrashort Pulses; Laser Pulses",TC.386,134,0.99,-4.2,0.48,70.616
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,127,0.33,-61.9,2.76,92.303
"Bone And Bones; Osteoporosis; Bone Density",TC.45,125,0.37,45.2,1.71,92.972
