Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Sheffield"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,561,1.16,37.3,4.79,98.394
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,505,1.63,24.4,1.87,87.818
"Galaxies; Stars; Planets",TC.1,366,0.57,38.8,6.33,99.264
"Bone And Bones; Osteoporosis; Bone Density",TC.45,317,1.12,22.0,2.95,92.972
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,274,1.48,11.5,1.12,86.412
"Semantics; Models; Recommender Systems",TC.37,248,0.46,-58.3,1.9,96.319
"Health; Costs And Cost Analysis; Neoplasms",TC.584,190,1.75,-0.2,2.86,72.892
"Glaciers; Holocene; Glacial Geology",TC.103,185,1.13,-5.2,2.87,91.098
"Magnetic Fields; Ionospheres; Sunspots",TC.31,181,0.73,-31.8,0.85,87.282
"Concretes; Compressive Strength; Cements",TC.68,175,0.45,16.5,2.24,97.122
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,154,0.5,-18.1,3.52,93.106
"Algorithms; Computer Vision; Models",TC.0,152,0.11,-48.0,2.83,99.465
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,141,0.19,-23.2,1.88,98.461
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,132,0.16,-24.9,2.56,97.523
"Block Copolymers; Micelles; Polymers",TC.112,131,0.6,19.5,2.48,97.858
"Speech; Speech Recognition; Models",TC.156,131,0.56,15.9,2.53,82.999
"Party; Election; Voter",TC.172,128,0.56,-20.2,1.44,78.179
"Reinforced Concrete; Concretes; Steel",TC.137,125,0.43,71.2,0.88,89.224
"Birds; Nests; Seabirds",TC.41,125,0.6,-32.2,1.67,89.759
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,124,0.45,19.3,1.86,96.118
"Taxes; Tax Evasion; Tax Compliance",TC.920,121,2.35,85.5,2.33,28.916
"Language; Reading; Semantics",TC.88,121,0.49,-21.6,1.88,89.491
"Buildings; Air Conditioning; Ventilation",TC.176,121,0.45,77.5,1.59,95.248
"Software Engineering; Models; Software Design",TC.49,120,0.32,-5.0,3.04,90.964
"Noise Pollution; Acoustic Waves; Acoustic Variables Control",TC.654,119,1.43,37.9,1.81,51.406
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,117,0.6,-0.8,2.01,82.195
"Control; Controllers; Linear Matrix Inequalities",TC.9,117,0.21,-3.2,1.62,96.921
"Obesity; Motor Activity; Child",TC.18,115,0.21,85.5,2.05,99.197
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,114,0.31,2.1,4.15,97.724
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,113,0.34,-14.1,0.97,89.96
"Forests; Landscapes; Plants",TC.151,112,0.51,6.4,3.12,94.712
"Offense; Police; Offender",TC.207,110,0.62,-6.0,2.51,75.234
"Oral Health; Periodontitis; Dental Caries",TC.125,110,0.52,57.6,1.33,84.605
"Neoplasms; Patients; Palliative Care",TC.77,109,0.33,-56.0,1.27,95.047
"Industry; Innovation; Entrepreneurship",TC.24,107,0.23,-15.2,2.87,97.256
"Kant; Theory; Epistemic",TC.152,105,0.44,-38.6,1.02,50.87
"Amyotrophic Lateral Sclerosis; Motor Neurons; Patients",TC.1021,104,1.8,-21.5,2.64,78.514
"Alzheimer Disease; Dementia; Amyloid",TC.32,102,0.26,47.4,2.34,98.795
"Drosophila; Drosophila Melanogaster; Genetic Selection",TC.459,101,1.19,-3.5,2.17,81.258
"Tooth; Bone And Bones; Dentin",TC.14,98,0.22,7.2,1.33,94.378
