Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Southampton"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,874,1.36,27.0,4.01,99.264
"Decay; Quarks; Neutrinos",TC.6,710,1.47,48.9,3.26,98.394
"Fiber Lasers; Fibers; Optical Fibers",TC.111,535,1.91,-48.0,1.21,88.353
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,405,1.21,-13.4,1.62,89.96
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,333,0.41,-14.0,2.99,97.523
"Oceans; Lakes; Dissolved Organic Matter",TC.52,298,1.19,20.8,2.0,95.984
"Photonics; Optical Communication; Optical Fibers",TC.113,295,1.13,1.2,1.86,79.518
"Partial Discharges; Insulation; Power Transformers",TC.297,250,1.46,-33.1,1.53,68.34
"Microstructure; Steel; Austenite",TC.20,248,0.59,7.4,2.85,97.323
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,242,0.44,-38.8,1.47,99.531
"Photonic Crystals; Photonics; Waveguides",TC.203,238,1.18,59.1,1.36,86.345
"Bone And Bones; Osteoporosis; Bone Density",TC.45,228,0.81,72.1,2.74,92.972
"Tides; Ocean; Ocean Currents",TC.252,216,1.74,-26.4,2.29,79.652
"Control; Controllers; Linear Matrix Inequalities",TC.9,199,0.35,-3.4,1.45,96.921
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,186,0.67,42.8,2.54,94.177
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,178,0.47,0.6,1.61,96.854
"Pregnancy; Pre-Eclampsia; Women",TC.85,174,0.73,-34.6,1.95,90.696
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,170,0.45,35.8,1.67,96.185
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,169,0.86,-9.6,3.29,90.629
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,151,0.81,102.2,0.94,86.412
"Obesity; Motor Activity; Child",TC.18,148,0.27,63.7,5.31,99.197
"HIV; HIV Infections; HIV-1",TC.17,145,0.35,16.8,1.69,96.386
"Agents; Game Theory; Models",TC.173,138,0.62,-42.7,1.61,81.058
"Estimator; Models; Variable Selection",TC.74,130,0.44,38.5,1.23,83.601
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,130,0.26,6.9,1.69,99.665
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,129,0.49,62.9,4.31,90.428
"Gravitation; Black Holes (Astronomy); Models",TC.15,124,0.32,26.3,1.46,95.716
"Algebra; Category; Module",TC.38,122,0.47,-32.5,0.85,56.56
"Alzheimer Disease; Dementia; Amyloid",TC.32,119,0.3,48.5,2.97,98.795
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,118,0.32,5.7,2.57,97.724
"Hearing; Hearing Loss; Cochlear Implants",TC.66,116,0.48,-36.2,1.13,87.483
"Ultrashort Pulses; Laser Induced Breakdown Spectroscopy; Ultrafast Lasers",TC.435,116,1.08,-40.1,0.82,76.104
"Algorithms; Computer Vision; Models",TC.0,115,0.09,-17.7,1.41,99.465
"Human Engineering; Ergonomics; Automation",TC.588,114,1.26,41.1,2.79,56.961
"Verification; Model Checking; Semantics",TC.96,113,0.48,-9.9,2.05,70.549
"Stroke; Gait; Rehabilitation",TC.48,113,0.28,-46.0,1.54,96.787
"Models; Risks; Finance",TC.54,110,0.31,-4.4,1.83,90.027
"Glaciers; Holocene; Glacial Geology",TC.103,110,0.67,-38.0,2.12,91.098
"Chalcogenides; Phase Change Memory; Germanium",TC.946,110,2.58,-28.1,0.89,49.331
"Sarcopenia; Patients; Aged",TC.782,110,1.13,-35.0,2.71,82.129
"Memristors; MOSFET Devices; Data Storage Equipment",TC.131,110,0.46,234.1,1.3,90.295
"Phosphors; Luminescence; Light Emission",TC.91,109,0.39,-37.6,0.89,96.252
"Waves; Water Waves; Wave Energy Conversion",TC.284,109,0.82,-40.8,1.1,75.77
"Microfluidics; Fluidic Devices; Microchannels",TC.197,108,0.52,-56.7,1.21,95.917
"Neoplasms; Patients; Palliative Care",TC.77,108,0.33,-20.3,1.68,95.047
"Language; Reading; Semantics",TC.88,107,0.44,38.0,1.46,89.491
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,101,0.65,-11.9,2.49,82.798
"Noise Pollution; Acoustic Waves; Acoustic Variables Control",TC.654,101,1.21,-8.1,1.98,51.406
"Knee; Osteoarthritis; Cartilage",TC.120,99,0.39,-38.0,2.18,91.566
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,99,0.34,-12.5,2.03,95.114
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,99,0.69,-3.6,5.05,78.581
"Emotions; Anxiety; Depression",TC.167,95,0.39,-36.6,1.94,95.515
"Semantics; Models; Recommender Systems",TC.37,92,0.17,-21.7,1.59,96.319
"Railroads; Rails; Railroad Transportation",TC.606,90,0.94,341.4,1.25,51.606
