Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Western Australia"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,716,1.11,59.5,3.98,99.264
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,556,1.48,22.2,2.19,96.854
"Piles; Soils; Geotechnical Engineering",TC.64,391,1.13,13.7,1.64,87.684
"Obesity; Motor Activity; Child",TC.18,349,0.63,-18.2,3.75,99.197
"Arabidopsis; Plants; Genes",TC.11,294,0.66,7.6,2.02,98.862
"Cholesterol; Lipids; Atherosclerosis",TC.79,245,1.05,82.3,3.06,94.444
"Soil; Biochar; Soil Organic Carbon",TC.35,231,0.71,-42.0,2.02,98.059
"Fisheries; Sharks; Fish",TC.63,226,1.04,7.4,2.01,90.228
"Corals; Coral Reefs; Cnidaria",TC.399,209,2.47,68.1,2.36,80.388
"Algorithms; Computer Vision; Models",TC.0,183,0.14,-29.6,2.64,99.465
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,182,0.65,0.0,2.1,94.177
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,175,0.75,91.5,2.22,92.236
"Attention; Brain; Learning",TC.10,169,0.38,-18.6,1.25,98.193
"Cables; Circular Cylinders; Fluid Structure Interaction",TC.466,168,1.5,28.8,1.75,53.681
"Alzheimer Disease; Dementia; Amyloid",TC.32,164,0.41,5.2,1.65,98.795
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,159,0.43,0.0,2.62,94.578
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,145,0.6,-3.5,1.68,93.976
"North American Indians; Residence Characteristics; Health",TC.833,144,2.37,33.8,0.98,54.953
"Stroke; Gait; Rehabilitation",TC.48,138,0.35,-24.7,1.98,96.787
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,136,0.88,45.3,2.3,82.798
"Forests; Landscapes; Plants",TC.151,135,0.61,-25.9,2.81,94.712
"Hearing; Hearing Loss; Cochlear Implants",TC.66,132,0.55,-4.9,2.07,87.483
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,126,0.53,50.4,2.05,91.432
"Fossils; Pleistocene; Paleolithic",TC.127,126,0.87,-3.4,2.14,80.522
"Rocks; Rock Mechanics; Tunnels",TC.155,124,0.45,-6.6,1.17,77.51
"Fires; Marsupial; Marsupialia",TC.953,123,4.0,38.6,1.03,43.373
"Exercise; Athletes; Muscles",TC.100,123,0.45,-59.9,1.27,92.369
"Pregnancy; Pre-Eclampsia; Women",TC.85,117,0.49,-15.9,2.21,90.696
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,117,0.32,3.6,2.69,97.724
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,115,0.23,-6.3,1.86,99.665
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,112,0.57,15.0,1.71,90.629
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,111,0.18,-38.8,2.23,99.13
"Work; Personality; Psychology",TC.29,110,0.28,5.9,2.72,96.452
"Emotions; Anxiety; Depression",TC.167,110,0.45,1.8,1.98,95.515
"Neoplasms; Patients; Palliative Care",TC.77,109,0.33,97.6,1.84,95.047
"Bone And Bones; Osteoporosis; Bone Density",TC.45,109,0.39,31.1,1.36,92.972
"Oceans; Lakes; Dissolved Organic Matter",TC.52,106,0.42,-63.9,2.65,95.984
"Mangrove; Wetlands; Seagrass",TC.585,104,1.49,49.1,2.4,72.691
"Tides; Ocean; Ocean Currents",TC.252,100,0.8,-42.8,1.31,79.652
"Oral Health; Periodontitis; Dental Caries",TC.125,100,0.48,-6.6,0.93,84.605
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,99,0.79,29.9,2.04,77.309
"Students; Medical Students; Education",TC.43,97,0.24,-32.9,1.65,91.901
"Weeds; Herbicides; Weed Control",TC.533,95,1.65,35.4,1.9,57.497
"Eye; Glaucoma; Cataract",TC.19,94,0.27,-16.0,1.62,90.83
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,93,0.47,24.1,1.69,89.625
"Finite Group; Subgroup; Group",TC.855,93,2.04,-19.5,1.13,5.087
"Breast Feeding; Mothers; Infant",TC.552,93,0.98,-70.2,1.54,64.458
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,92,0.31,-12.6,1.72,95.783
"Mesothelioma; Asbestos; Neoplasms",TC.682,91,1.77,-35.5,1.72,54.351
"Child; Adolescent; Schools",TC.99,91,0.32,77.5,1.33,93.307
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,89,0.7,-22.8,1.4,86.145
"Beans; Fabaceae; Genotype",TC.1109,89,3.01,74.8,2.27,27.376
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,86,0.19,-27.1,2.06,98.26
"Gravitation; Black Holes (Astronomy); Models",TC.15,83,0.22,5.2,1.14,95.716
"Tooth; Bone And Bones; Dentin",TC.14,81,0.18,-17.7,1.3,94.378
"Optical Tomography; Photoacoustic Effect; Tomography",TC.398,78,0.54,30.7,1.7,80.455
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,76,0.37,-61.2,0.8,83.333
"Burns; Wounds And Injuries; Cicatrix",TC.545,76,1.07,0.2,1.2,48.327
"Muscles; Duchenne Muscular Dystrophy; Skeletal Muscle",TC.385,75,0.77,-55.1,1.74,80.589
"Breast Neoplasms; Patients; Mammography",TC.89,73,0.29,124.5,1.82,90.897
"Fires; Forests; Wildfires",TC.278,72,0.66,-13.5,1.35,77.778
"Clostridium Difficile; Clostridium Infections; Anthrax",TC.610,72,1.0,43.7,2.27,66.934
"Spermatozoa; Semen; Oocytes",TC.94,72,0.42,-65.3,1.71,84.337
"Plants; Introduced Species; Invasive Species",TC.958,71,1.43,-51.2,3.35,63.655
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,70,0.32,-28.7,1.03,92.436
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,69,0.69,171.4,4.68,84.203
"Macroalgae; Rhodophycota; Seaweed",TC.454,67,0.94,-16.8,3.15,74.23
"Ligands; Ruthenium; Catalysts",TC.75,67,0.39,30.5,1.23,97.791
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,66,0.21,-72.6,1.03,92.905
"Industry; Research; Marketing",TC.36,66,0.17,-8.6,1.89,96.586
"Knee; Osteoarthritis; Cartilage",TC.120,66,0.26,-36.4,1.11,91.566
"Stroke; Patients; Cerebral Hemorrhage",TC.138,65,0.29,-16.2,1.95,89.157
"Rice; Corn; Wheat",TC.339,65,0.66,106.5,1.31,71.352
"Melanoma; Skin Neoplasms; Neoplasms",TC.233,64,0.38,8.0,1.49,80.924
"Climate Models; Model; Rainfall",TC.5,63,0.1,95.1,3.08,98.929
"Basin; Craton; Zircon",TC.1484,63,6.12,121.7,1.74,7.497
"Models; Social Networking (Online); Algorithms",TC.358,63,0.26,46.2,1.64,89.023
"Hypertension; Blood Pressure; Patients",TC.157,62,0.38,527.8,6.36,82.932
"Mines; Mining; Models",TC.1203,60,1.79,-42.1,0.66,29.786
"Mycorrhizal Fungi; Basidiomycota; Fungus",TC.479,60,0.87,-10.4,1.87,68.005
"Viruses; Mosaic Viruses; Phytoplasma",TC.293,59,0.59,284.0,1.34,74.364
"Tree Ring; Trees; Growth Rings",TC.370,59,0.63,-53.1,2.64,85.676
"Spine; Patients; Low Back Pain",TC.23,59,0.14,-40.2,1.14,93.039
"Photosystem II Protein Complex; Photosynthesis; Chlorophyll",TC.329,59,0.68,-16.1,2.31,83.668
"Language; Reading; Semantics",TC.88,58,0.24,-17.2,2.09,89.491
"Waves; Water Waves; Wave Energy Conversion",TC.284,58,0.43,492.3,1.54,75.77
"Heavy Metals; Soils; Cadmium",TC.214,58,0.35,-10.0,1.3,90.161
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,58,0.27,-48.0,0.99,93.44
"Brain Injuries; Wounds And Injuries; Patients",TC.258,58,0.34,-14.3,1.69,87.015
"Iron; Anemia; Erythropoietin",TC.238,56,0.41,-27.1,1.32,83.133
"Cambrian; Cretaceous; Ordovician",TC.44,56,0.49,-14.2,1.73,75.502
"Drosophila; Drosophila Melanogaster; Genetic Selection",TC.459,56,0.66,6.1,1.37,81.258
"Alcohols; Ethanol; Alcohol Drinking",TC.433,55,0.8,62.9,1.89,67.269
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,54,0.54,64.4,2.7,70.884
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,54,0.17,72.6,1.91,92.303
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,54,0.18,-38.2,1.54,97.657
"Wheat; Triticum; Triticum Aestivum",TC.617,53,1.07,75.9,2.99,58.501
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,53,0.32,69.5,1.93,91.365
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,52,0.13,60.6,2.64,94.913
"Alcohols; Cannabis; Drinking",TC.174,52,0.3,-49.1,1.02,84.94
"Dengue; Viruses; Dengue Virus",TC.170,52,0.22,64.2,2.29,98.327
"Gasification; Pyrolysis; Coal",TC.87,52,0.17,47.8,1.81,98.527
"Concretes; Compressive Strength; Cements",TC.68,51,0.13,124.3,1.91,97.122
"Control; Controllers; Linear Matrix Inequalities",TC.9,51,0.09,-18.1,1.22,96.921
"Birds; Nests; Seabirds",TC.41,51,0.25,-14.9,1.54,89.759
"Electricity; Energy; Economics",TC.81,51,0.14,-2.2,1.68,98.594
"Models; Risks; Finance",TC.54,51,0.14,6.7,0.91,90.027
