Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"WUN - Worldwide Universities Network"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,4425,6.87,15.7,2.23,99.264
"Obesity; Motor Activity; Child",TC.18,4096,7.44,11.0,1.98,99.197
"Algorithms; Computer Vision; Models",TC.0,3929,2.95,-16.3,2.53,99.465
"Decay; Quarks; Neutrinos",TC.6,3399,7.04,10.1,2.91,98.394
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,2787,3.47,-6.1,2.02,97.523
"HIV; HIV Infections; HIV-1",TC.17,2651,6.37,11.1,1.67,96.386
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,2470,3.36,-19.7,1.69,98.461
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,2286,6.08,0.3,1.74,96.854
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,2170,2.5,-28.0,2.05,99.933
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,2129,2.86,3.7,1.97,99.866
"Attention; Brain; Learning",TC.10,2043,4.58,16.2,1.17,98.193
"Neoplasms; Patients; Palliative Care",TC.77,1996,6.13,5.0,1.67,95.047
"Alzheimer Disease; Dementia; Amyloid",TC.32,1984,5.01,9.4,2.05,98.795
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,1983,5.24,-6.0,1.32,96.185
"Arabidopsis; Plants; Genes",TC.11,1885,4.23,-5.8,1.79,98.862
"Stroke; Gait; Rehabilitation",TC.48,1859,4.67,5.3,1.36,96.787
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,1820,6.51,15.3,1.95,94.177
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,1816,2.87,-10.0,1.72,99.13
"Climate Models; Model; Rainfall",TC.5,1797,2.97,-4.4,1.77,98.929
"Students; Medical Students; Education",TC.43,1790,4.44,-12.4,1.47,91.901
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,1770,3.25,-18.6,1.38,99.531
"Semantics; Models; Recommender Systems",TC.37,1759,3.26,-15.2,1.79,96.319
"Piles; Soils; Geotechnical Engineering",TC.64,1738,5.02,-1.9,1.09,87.684
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,1699,4.35,8.8,1.65,94.913
"Bone And Bones; Osteoporosis; Bone Density",TC.45,1693,6.0,14.2,1.66,92.972
"Control; Controllers; Linear Matrix Inequalities",TC.9,1673,2.97,-10.7,1.41,96.921
"Industry; Innovation; Entrepreneurship",TC.24,1668,3.58,1.6,2.13,97.256
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,1651,6.0,6.2,2.0,91.232
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,1645,3.29,17.8,3.7,99.665
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,1610,2.16,9.1,3.07,100.0
"Pregnancy; Pre-Eclampsia; Women",TC.85,1608,6.72,-0.6,1.72,90.696
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,1592,3.43,24.2,2.04,98.26
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,1583,2.64,-16.4,2.03,96.519
"Traffic Control; Transportation; Models",TC.107,1567,4.42,0.9,1.37,93.708
"Spine; Patients; Low Back Pain",TC.23,1557,3.74,-1.1,1.27,93.039
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,1549,4.23,17.8,2.56,97.724
"Work; Personality; Psychology",TC.29,1488,3.74,-18.3,1.71,96.452
"Soil; Biochar; Soil Organic Carbon",TC.35,1469,4.52,-5.9,1.89,98.059
"Language; Reading; Semantics",TC.88,1461,5.97,2.4,1.64,89.491
"Models; Risks; Finance",TC.54,1449,4.12,6.8,0.97,90.027
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,1442,3.87,4.6,1.76,94.578
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,1417,2.6,15.6,1.66,99.799
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,1415,3.33,3.1,2.21,99.398
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,1362,4.52,3.4,1.67,95.783
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,1355,5.58,22.2,1.79,93.976
"Estimator; Models; Variable Selection",TC.74,1349,4.53,4.2,0.93,83.601
"Emotions; Anxiety; Depression",TC.167,1330,5.43,9.7,1.64,95.515
"Catalysts; Zeolites; Hydrogenation",TC.7,1323,2.48,-9.6,1.33,99.732
"Eye; Glaucoma; Cataract",TC.19,1321,3.73,4.1,1.5,90.83
"Monetary Policy; Economic Growth; Exports",TC.21,1303,3.09,13.6,0.93,90.094
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,1296,4.01,9.5,1.92,92.303
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,1286,3.54,-20.4,1.37,99.063
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,1281,4.14,13.3,1.9,97.59
"Glaciers; Holocene; Glacial Geology",TC.103,1256,7.64,-14.5,2.39,91.098
