Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"World"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019


Topic Cluster,Topic Cluster Number,Scholarly Output,Field-Weighted Citation Impact,Prominence percentile
"Algorithms; Computer Vision; Models",TC.0,133154,1.5,99.465
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,86835,1.81,99.933
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,80395,1.31,97.523
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,74638,2.36,100.0
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,74362,1.77,99.866
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,73477,1.33,98.461
"Galaxies; Stars; Planets",TC.1,64373,1.21,99.264
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,63300,1.29,99.13
"Climate Models; Model; Rainfall",TC.5,60438,1.14,98.929
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,59893,1.15,96.519
"Control; Controllers; Linear Matrix Inequalities",TC.9,56308,1.2,96.921
"Obesity; Motor Activity; Child",TC.18,55045,1.35,99.197
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,54535,1.34,99.531
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,54519,1.48,99.799
"Semantics; Models; Recommender Systems",TC.37,53998,1.34,96.319
"Catalysts; Zeolites; Hydrogenation",TC.7,53352,1.09,99.732
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,50046,1.8,99.665
"Decay; Quarks; Neutrinos",TC.6,48260,1.26,98.394
"Industry; Innovation; Entrepreneurship",TC.24,46591,1.22,97.256
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,46455,1.16,98.26
"Tooth; Bone And Bones; Dentin",TC.14,44769,0.97,94.378
"Attention; Brain; Learning",TC.10,44618,1.07,98.193
"Arabidopsis; Plants; Genes",TC.11,44586,1.31,98.862
"Antennas; Slot Antennas; Microwave Antennas",TC.55,44583,0.85,91.031
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,42500,1.99,99.398
"Monetary Policy; Economic Growth; Exports",TC.21,42130,0.89,90.094
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,42052,1.41,99.598
"Microstructure; Steel; Austenite",TC.20,41976,0.92,97.323
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,41701,1.36,93.173
"HIV; HIV Infections; HIV-1",TC.17,41617,1.13,96.386
"Spine; Patients; Low Back Pain",TC.23,41584,0.78,93.039
"Students; Medical Students; Education",TC.43,40344,0.97,91.901
"Cryptography; Authentication; Data Privacy",TC.84,40131,1.39,93.24
"Stroke; Gait; Rehabilitation",TC.48,39810,1.08,96.787
"Work; Personality; Psychology",TC.29,39758,1.18,96.452
"Alzheimer Disease; Dementia; Amyloid",TC.32,39573,1.42,98.795
"Concretes; Compressive Strength; Cements",TC.68,39118,0.94,97.122
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,39019,0.94,94.913
"Gravitation; Black Holes (Astronomy); Models",TC.15,38528,1.13,95.716
"Software Engineering; Models; Software Design",TC.49,38017,1.05,90.964
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,37832,1.04,96.185
"Industry; Research; Marketing",TC.36,37768,1.05,96.586
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,37629,1.14,96.854
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,37283,1.22,94.578
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,36610,1.35,97.724
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,36352,1.05,99.063
"Electricity; Energy; Economics",TC.81,35892,1.27,98.594
"Eye; Glaucoma; Cataract",TC.19,35448,0.92,90.83
"Traffic Control; Transportation; Models",TC.107,35429,1.09,93.708
"Models; Risks; Finance",TC.54,35174,0.86,90.027
"Piles; Soils; Geotechnical Engineering",TC.64,34653,0.75,87.684
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,33551,1.03,89.96
"Ligands; Crystal Structure; Organometallics",TC.71,32751,1.51,99.331
"Neoplasms; Patients; Palliative Care",TC.77,32581,1.11,95.047
"Soil; Biochar; Soil Organic Carbon",TC.35,32471,1.27,98.059
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,32290,0.96,92.303
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,31416,0.98,92.905
"Gasification; Pyrolysis; Coal",TC.87,31280,1.14,98.527
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,30960,1.11,97.59
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,30926,1.04,93.106
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,30893,0.96,87.818
"Robots; Robotics; Manipulators",TC.101,30875,1.01,88.956
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,30384,1.22,97.657
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,30146,1.14,95.783
"Estimator; Models; Variable Selection",TC.74,29777,0.87,83.601
"Computer Crime; Network Security; Intrusion Detection",TC.218,29447,1.28,88.822
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,29190,0.93,89.893
"Data Storage Equipment; Program Processors; Applications",TC.92,29146,1.18,81.928
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,28941,1.21,95.114
"Reinforced Concrete; Concretes; Steel",TC.137,28923,0.67,89.224
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,28765,1.23,95.448
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,28631,0.88,90.361
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,28556,1.09,92.035
"Child; Adolescent; Schools",TC.99,28456,1.22,93.307
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,28323,1.28,95.582
"Bone And Bones; Osteoporosis; Bone Density",TC.45,28205,1.01,92.972
"Fiber Lasers; Fibers; Optical Fibers",TC.111,28016,0.86,88.353
"Phosphors; Luminescence; Light Emission",TC.91,27994,1.12,96.252
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,27960,1.09,94.177
"Pharmaceutical Preparations; Nanoparticles; Tablets",TC.82,27875,1.2,97.39
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,27831,0.98,96.118
"Database Systems; Ontology; Query Processing",TC.143,27777,1.12,86.881
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,27576,0.9,93.641
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,27494,0.95,91.232
"Biosensors; Electrodes; Voltammetry",TC.128,27453,1.44,98.996
"Exercise; Athletes; Muscles",TC.100,27365,0.95,92.369
"Rocks; Rock Mechanics; Tunnels",TC.155,27259,0.69,77.51
"Buildings; Air Conditioning; Ventilation",TC.176,26952,1.1,95.248
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,26765,1.43,87.216
"Magnesium Alloys; Alloys; Aluminum Alloys",TC.106,26738,0.87,91.834
"Reservoirs (Water); Oil Well Flooding; Hydraulic Fracturing",TC.164,26266,1.43,84.07
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,26259,0.93,90.428
"Algebra; Category; Module",TC.38,26172,0.79,56.56
"Photonics; Optical Communication; Optical Fibers",TC.113,26114,1.07,79.518
"Arthroplasty; Hip; Knee",TC.123,25926,0.97,87.349
"Cellulose; Lignin; Cellulases",TC.119,25813,1.17,98.126
"Knee; Osteoarthritis; Cartilage",TC.120,25659,1.1,91.566
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,25545,1.25,95.85
"Nanocrystals; Semiconductor Quantum Dots; Zinc Sulfide",TC.177,25440,1.21,97.456
"Classification (Of Information); Learning Systems; Algorithms",TC.195,25414,1.15,88.487
"Breast Neoplasms; Patients; Mammography",TC.89,25396,1.0,90.897
"Supply Chains; Supply Chain Management; Industry",TC.146,25360,1.23,95.382
"Synthesis (Chemical); Derivatives; Pyridines",TC.67,25264,0.77,92.704
"Polypropylenes; Lactic Acid; Blending",TC.69,25216,0.94,95.649
"Oceans; Lakes; Dissolved Organic Matter",TC.52,25131,1.23,95.984
"Ozonization; Degradation; Wastewater Treatment",TC.206,25002,1.36,98.728
"Epilepsy; Seizures; Electroencephalography",TC.73,24899,0.94,90.763
"Magnetic Fields; Ionospheres; Sunspots",TC.31,24895,0.83,87.282
"Emotions; Anxiety; Depression",TC.167,24475,1.23,95.515
"Language; Reading; Semantics",TC.88,24453,1.25,89.491
"Models; Social Networking (Online); Algorithms",TC.358,24449,1.36,89.023
"Heat Transfer; Nusselt Number; Natural Convection",TC.142,24392,1.48,96.72
"Design; Human Computer Interaction; Augmented Reality",TC.231,24378,1.06,82.865
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,24273,1.22,93.976
"Hearing; Hearing Loss; Cochlear Implants",TC.66,23961,0.97,87.483
"Pregnancy; Pre-Eclampsia; Women",TC.85,23945,1.07,90.696
"Memristors; MOSFET Devices; Data Storage Equipment",TC.131,23813,1.23,90.295
"Adsorption; Adsorbents; Activated Carbon",TC.191,23811,1.25,97.189
"Kant; Theory; Epistemic",TC.152,23704,1.17,50.87
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,23601,1.16,91.432
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,23560,0.9,89.357
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,23545,1.47,94.779
"Students; Teaching; Education; E-Learning",TC.200,23504,1.22,86.278
"Dengue; Viruses; Dengue Virus",TC.170,23490,1.97,98.327
"Cells; Drosophila; Neoplasms",TC.110,23369,1.05,94.645
"Verification; Model Checking; Semantics",TC.96,23353,1.07,70.549
"Cholesterol; Lipids; Atherosclerosis",TC.79,23319,1.3,94.444
"Biodiesel; Diesel Engines; Engine Cylinders",TC.165,23257,1.16,93.909
"Speech; Speech Recognition; Models",TC.156,23255,1.49,82.999
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,23210,1.12,92.236
"Metagenome; Probiotics; Bacteria",TC.215,23200,1.81,98.661
"Synthetic Aperture Radar; Radar; Radar Imaging",TC.204,22952,0.92,81.794
"Party; Election; Voter",TC.172,22935,1.33,78.179
"Multi Agent Systems; Motion Planning; Robots",TC.285,22860,1.3,87.416
"Stroke; Patients; Cerebral Hemorrhage",TC.138,22763,1.12,89.157
"Power Amplifiers; CMOS Integrated Circuits; Variable Frequency Oscillators",TC.122,22759,1.02,73.762
