Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Zhejiang University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Algorithms; Computer Vision; Models",TC.0,1206,0.91,-20.0,1.47,99.465
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,1076,1.46,-27.5,1.34,98.461
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,837,1.12,9.1,3.5,100.0
"Piles; Soils; Geotechnical Engineering",TC.64,771,2.22,-27.5,0.7,87.684
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,745,0.86,-28.6,2.0,99.933
"Catalysts; Zeolites; Hydrogenation",TC.7,688,1.29,-4.9,1.32,99.732
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,665,1.05,-30.6,1.51,99.13
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,663,0.89,6.2,2.06,99.866
"Arabidopsis; Plants; Genes",TC.11,649,1.46,-0.4,1.64,98.862
"Gasification; Pyrolysis; Coal",TC.87,592,1.89,-17.0,1.12,98.527
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,583,1.07,-10.2,1.41,99.531
"Control; Controllers; Linear Matrix Inequalities",TC.9,581,1.03,-15.3,1.63,96.921
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,519,1.22,59.5,1.93,99.398
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,481,0.88,4.4,2.02,99.799
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,452,1.24,-32.8,1.12,99.063
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,447,0.56,-4.9,2.19,97.523
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,436,1.41,1.2,0.95,87.818
"Algorithms; Computer Graphics; Surfaces",TC.228,392,2.55,-56.0,0.63,61.178
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,389,0.65,-2.9,2.15,96.519
"Concretes; Compressive Strength; Cements",TC.68,387,0.99,-32.4,0.86,97.122
"Block Copolymers; Micelles; Polymers",TC.112,370,1.68,0.8,1.54,97.858
"Photonic Crystals; Photonics; Waveguides",TC.203,356,1.76,75.7,1.2,86.345
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,338,1.21,-44.4,0.94,96.118
"Soil; Biochar; Soil Organic Carbon",TC.35,313,0.96,0.9,1.51,98.059
"Fault Detection; Process Monitoring; Principal Component Analysis",TC.899,311,5.5,13.4,1.21,49.531
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,303,0.61,53.6,1.25,99.665
"Traffic Control; Transportation; Models",TC.107,299,0.84,-10.3,1.49,93.708
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,295,0.64,158.4,3.0,98.26
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,291,0.69,-20.3,2.27,99.598
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,282,1.33,-28.3,2.4,97.992
"Fiber Lasers; Fibers; Optical Fibers",TC.111,271,0.97,14.8,0.85,88.353
"Near Infrared Spectroscopy; Raman Spectrum Analysis; Infrared Devices",TC.451,256,2.36,-12.1,1.2,78.715
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,255,0.88,-29.2,1.09,95.114
"Robots; Robotics; Manipulators",TC.101,253,0.82,12.4,0.83,88.956
"Polypropylenes; Lactic Acid; Blending",TC.69,247,0.98,-22.2,1.13,95.649
"Ligands; Crystal Structure; Organometallics",TC.71,245,0.75,3.8,2.86,99.331
"Semantics; Models; Recommender Systems",TC.37,244,0.45,27.0,1.5,96.319
"Membranes; Desalination; Ultrafiltration",TC.223,235,1.2,-29.5,1.6,97.925
"Heavy Metals; Soils; Cadmium",TC.214,233,1.41,-15.1,1.59,90.161
"Microfluidics; Fluidic Devices; Microchannels",TC.197,227,1.09,14.1,1.11,95.917
"Multi Agent Systems; Motion Planning; Robots",TC.285,227,0.99,20.2,1.59,87.416
"Rocks; Rock Mechanics; Tunnels",TC.155,224,0.82,-8.7,0.63,77.51
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,221,0.73,54.4,1.2,97.657
"Reinforced Concrete; Concretes; Steel",TC.137,218,0.75,-26.3,0.44,89.224
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,211,1.02,-30.2,0.99,88.889
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,210,1.35,34.5,0.94,94.311
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,206,1.66,16.9,1.17,74.699
"Models; Social Networking (Online); Algorithms",TC.358,204,0.83,36.1,1.61,89.023
"Tea; Polyphenols; Anthocyanins",TC.294,201,1.13,7.9,1.31,94.11
"Phosphors; Luminescence; Light Emission",TC.91,195,0.7,22.1,1.37,96.252
"Ozonization; Degradation; Wastewater Treatment",TC.206,194,0.78,-22.8,1.47,98.728
"Biosensors; Electrodes; Voltammetry",TC.128,192,0.7,-30.6,1.64,98.996
"Photonics; Optical Communication; Optical Fibers",TC.113,191,0.73,41.9,0.76,79.518
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,191,0.65,69.2,0.74,89.893
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,191,0.67,0.4,1.02,95.582
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,189,0.5,0.7,0.98,96.185
"Valves (Mechanical); Hydraulics; Hydraulic Equipment",TC.1266,187,4.69,54.6,0.89,18.072
"Autophagy; Sirolimus; Neoplasms",TC.627,181,1.32,78.6,1.89,92.57
"Design; Product Design; Product Development",TC.263,178,1.19,-56.6,0.8,69.478
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,178,0.97,-25.0,1.06,85.609
"Industry; Innovation; Entrepreneurship",TC.24,178,0.38,-43.6,0.99,97.256
"Decay; Quarks; Neutrinos",TC.6,176,0.36,7.9,1.85,98.394
"Attention; Brain; Learning",TC.10,176,0.39,101.7,0.92,98.193
"Climate Models; Model; Rainfall",TC.5,176,0.29,24.9,0.75,98.929
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,171,0.59,40.2,1.7,95.448
"Classification (Of Information); Learning Systems; Algorithms",TC.195,169,0.66,-16.1,1.14,88.487
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,166,0.94,-22.0,1.04,93.507
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,166,0.86,57.5,1.11,86.011
"Cells; Drosophila; Neoplasms",TC.110,164,0.7,148.4,1.41,94.645
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,164,1.15,-20.4,1.19,82.396
"Cables; Circular Cylinders; Fluid Structure Interaction",TC.466,163,1.45,26.1,0.48,53.681
"Magnetoplasma; Tokamak Devices; Plasmas",TC.185,160,0.93,15.6,0.88,77.845
"Database Systems; Ontology; Query Processing",TC.143,160,0.58,50.6,1.52,86.881
"Spine; Patients; Low Back Pain",TC.23,160,0.38,33.7,0.82,93.039
"Cells; Neoplasms; Hydrogels",TC.166,156,0.7,79.8,1.23,97.055
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,156,0.37,-22.7,1.23,93.173
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,155,0.41,24.3,0.97,96.854
"Lipases; Biocatalysts; Biocatalysis",TC.323,152,1.52,-28.9,0.61,87.082
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,150,0.56,26.6,1.19,87.216
"Industry; Web Services; Models",TC.327,150,1.06,-29.5,1.43,72.088
"Discharge; Plasma Applications; Plasma Jets",TC.184,149,0.97,-11.4,0.91,83.534
"Boiling Liquids; Heat Transfer; Two Phase Flow",TC.273,149,0.88,47.4,0.91,82.262
"Hydrogen Storage; Hydrides; Dehydrogenation",TC.607,147,2.19,-35.1,1.21,72.356
"Data Storage Equipment; Program Processors; Applications",TC.92,139,0.48,41.6,0.52,81.928
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,138,0.63,-32.1,0.67,92.436
"Measurements; Machine Tools; Errors",TC.686,138,1.75,-58.1,0.83,35.475
"Ionic Liquids; Eutectics; Negative Ions",TC.847,137,1.4,27.2,1.47,92.102
"Machining; Cutting; Milling (Machining)",TC.179,137,0.6,38.6,1.19,88.286
"Microstructure; Steel; Austenite",TC.20,136,0.32,-3.2,1.38,97.323
"Liver Transplantation; Liver; Fibrosis",TC.144,135,0.76,33.4,0.78,81.526
"Models; Risks; Finance",TC.54,135,0.38,45.5,0.79,90.027
"Adsorption; Adsorbents; Activated Carbon",TC.191,132,0.55,-19.1,1.57,97.189
"Exergy; Heat Pump Systems; Rankine Cycle",TC.271,132,0.64,-32.5,0.97,96.051
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,132,0.56,77.8,2.56,91.432
"Oceans; Lakes; Dissolved Organic Matter",TC.52,129,0.51,107.4,1.25,95.984
"Ethylenes; Apples; Fruit",TC.308,128,1.29,-5.5,1.37,74.632
"Supply Chains; Supply Chain Management; Industry",TC.146,128,0.5,9.6,1.54,95.382
"Chemical Sensors; Gas Detectors; Volatile Organic Compounds",TC.1062,127,2.19,0.7,1.66,71.821
"Eye; Glaucoma; Cataract",TC.19,126,0.36,140.1,1.01,90.83
