Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University College Dublin"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,825,1.71,39.2,3.98,98.394
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,190,0.3,-14.2,1.87,99.13
"Near Infrared Spectroscopy; Raman Spectrum Analysis; Infrared Devices",TC.451,171,1.57,-14.9,3.98,78.715
"Galaxies; Stars; Planets",TC.1,164,0.25,119.1,2.9,99.264
"Dairy Cows; Cows; Mastitis",TC.136,152,0.96,-2.3,1.56,80.857
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,148,0.66,71.0,2.67,91.165
"Obesity; Motor Activity; Child",TC.18,137,0.25,71.5,3.05,99.197
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,134,0.49,-39.5,1.21,93.641
"Irish; Ireland; Great Britain",TC.1013,131,2.8,6.3,1.51,9.103
"Pregnancy; Pre-Eclampsia; Women",TC.85,120,0.5,-35.5,1.49,90.696
"Power Amplifiers; CMOS Integrated Circuits; Variable Frequency Oscillators",TC.122,111,0.49,127.2,1.86,73.762
"Soil; Biochar; Soil Organic Carbon",TC.35,110,0.34,19.9,1.91,98.059
"Bariatric Surgery; Gastric Bypass; Obesity",TC.865,90,1.08,10.1,1.77,71.486
"Nanoparticles; Metal Nanoparticles; Nanostructures",TC.700,89,0.65,-20.1,3.87,94.98
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,85,0.16,-29.2,1.63,99.799
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,85,0.66,-37.5,1.47,76.305
"Semantics; Models; Recommender Systems",TC.37,83,0.15,-53.0,1.71,96.319
"Multiple Sclerosis; Patients; Neuromyelitis Optica",TC.304,82,0.55,26.0,1.39,87.952
"Computer Crime; Network Security; Intrusion Detection",TC.218,81,0.28,48.6,1.54,88.822
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,80,0.28,6.0,2.49,92.035
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,79,0.17,-16.8,1.63,98.26
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,78,0.31,-29.8,1.09,95.85
"Drying; Moisture Determination; Thermal Processing (Foods)",TC.405,76,0.72,2.6,1.9,79.853
"Exercise; Athletes; Muscles",TC.100,74,0.27,14.9,1.18,92.369
"Child; Adolescent; Schools",TC.99,72,0.25,3.7,1.46,93.307
"Waves; Water Waves; Wave Energy Conversion",TC.284,71,0.53,-53.0,2.04,75.77
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,71,0.26,-46.9,1.77,91.232
"Piles; Soils; Geotechnical Engineering",TC.64,71,0.2,-27.9,2.05,87.684
"HIV; HIV Infections; HIV-1",TC.17,70,0.17,23.8,1.62,96.386
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,70,0.12,-28.1,2.14,96.519
"Breast Neoplasms; Patients; Mammography",TC.89,69,0.27,-12.7,1.66,90.897
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,67,0.22,-29.1,2.1,95.783
"Housing; Neighborhood; Gentrification",TC.281,65,0.44,-63.9,1.2,74.565
"Structural Health Monitoring; Damage Detection; Modal Analysis",TC.514,64,0.55,71.1,1.31,69.746
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,64,0.83,-32.7,0.79,16.667
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,61,0.41,-69.0,2.2,85.877
"Industry; Innovation; Entrepreneurship",TC.24,61,0.13,-22.3,2.56,97.256
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,60,0.17,121.3,1.23,99.063
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,60,0.27,8.6,1.92,94.846
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,60,0.16,-34.1,1.11,94.578
"Arabidopsis; Plants; Genes",TC.11,60,0.13,-31.4,1.69,98.862
"Brain Injuries; Wounds And Injuries; Patients",TC.258,59,0.35,15.8,1.41,87.015
"Alzheimer Disease; Dementia; Amyloid",TC.32,58,0.15,-48.6,1.41,98.795
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,58,0.07,1.3,1.82,97.523
"Hypertension; Blood Pressure; Patients",TC.157,57,0.35,9.2,4.69,82.932
"Inertial Confinement Fusion; Laser Produced Plasmas; Plasmas (Physics)",TC.312,57,0.5,81.6,0.78,65.06
"Neoplasms; Patients; Palliative Care",TC.77,57,0.17,82.3,2.08,95.047
"Echinococcosis; Schistosomiasis; Parasites",TC.109,57,0.35,19.9,2.58,79.92
"Attention; Brain; Learning",TC.10,55,0.12,107.1,1.18,98.193
"Basin; Reservoir; Shale",TC.213,55,0.35,189.2,1.37,77.577
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,54,0.14,341.7,1.39,96.854
"Models; Risks; Finance",TC.54,54,0.15,37.2,0.95,90.027
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,53,0.27,-7.4,1.23,82.195
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,52,0.1,-22.7,3.34,99.665
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,51,0.06,-52.4,1.83,99.933
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,51,0.22,164.3,1.45,92.236
"Spine; Patients; Low Back Pain",TC.23,50,0.12,-25.9,0.83,93.039
"Kant; Theory; Epistemic",TC.152,50,0.21,188.9,1.76,50.87
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,49,0.17,-50.5,1.04,95.448
"Industry; Research; Marketing",TC.36,47,0.12,-55.4,3.11,96.586
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,45,0.11,14.6,1.35,93.173
"Artificial Intelligence; Algorithms; Semantics",TC.411,45,0.42,-100.0,3.9,52.878
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,45,0.19,207.9,1.76,93.976
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,44,0.26,-25.0,1.55,90.495
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,44,0.1,16.0,2.23,99.398
"Stroke; Gait; Rehabilitation",TC.48,43,0.11,22.5,1.06,96.787
"Women; Cesarean Section; Parturition",TC.397,43,0.36,7.6,1.23,67.202
"Horses; Horse Diseases; Exercise",TC.452,43,0.68,-18.2,0.86,38.153
"Ligands; Ruthenium; Catalysts",TC.75,43,0.25,11.9,1.62,97.791
"Monetary Policy; Economic Growth; Exports",TC.21,43,0.1,-70.8,1.11,90.094
"Radiation; Tomography; Medical Imaging",TC.245,42,0.23,-68.4,0.62,79.116
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,41,0.21,-45.6,1.73,89.625
"Sausages; Meat; Pork",TC.349,41,0.45,255.7,1.93,74.096
"Holography; Photopolymers; Holograms",TC.1302,41,2.37,-67.3,0.71,7.162
"Traffic Control; Transportation; Models",TC.107,40,0.11,84.6,1.25,93.708
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,40,0.14,-49.1,0.75,96.118
"Knee; Osteoarthritis; Cartilage",TC.120,40,0.16,32.4,1.64,91.566
"Cells; Neoplasms; Hydrogels",TC.166,40,0.18,-38.7,1.09,97.055
"Ankle; Foot; Diabetic Foot",TC.319,39,0.3,50.7,2.41,66.801
"Work; Personality; Psychology",TC.29,39,0.1,-42.3,1.33,96.452
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,38,0.12,22.4,1.25,92.905
"Trade Unions; Workers; Labor",TC.524,38,0.59,11.4,1.76,30.723
"Emotions; Anxiety; Depression",TC.167,38,0.16,-21.7,1.26,95.515
"Cheeses; Caseins; Milk",TC.178,38,0.24,-16.6,1.36,93.842
"Software Engineering; Models; Software Design",TC.49,38,0.1,-1.2,1.04,90.964
"Eye; Glaucoma; Cataract",TC.19,38,0.11,-11.0,1.67,90.83
"Models; Social Networking (Online); Algorithms",TC.358,37,0.15,-59.4,1.28,89.023
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,37,0.17,-62.8,1.77,97.992
