Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Auckland"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,441,0.91,43.2,4.23,98.394
"Obesity; Motor Activity; Child",TC.18,314,0.57,7.2,3.7,99.197
"Pregnancy; Pre-Eclampsia; Women",TC.85,286,1.19,19.9,1.63,90.696
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,201,0.27,-29.6,2.92,98.461
"Stroke; Gait; Rehabilitation",TC.48,178,0.45,10.2,1.5,96.787
"Volcanoes; Volcanic Eruption; Volcanology",TC.465,160,2.4,53.0,1.14,70.415
"North American Indians; Residence Characteristics; Health",TC.833,155,2.55,-31.2,1.04,54.953
"Teachers; Language; Student",TC.265,151,0.78,-33.0,2.36,73.36
"Eye; Glaucoma; Cataract",TC.19,148,0.42,24.4,2.4,90.83
"Uric Acid; Gout; Hyperuricemia",TC.1000,145,2.62,4.3,2.07,56.292
"Attention; Brain; Learning",TC.10,135,0.3,82.5,1.36,98.193
"Students; Medical Students; Education",TC.43,131,0.32,77.5,1.21,91.901
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,128,0.64,52.4,3.15,89.625
"Algorithms; Computer Vision; Models",TC.0,127,0.1,-60.7,0.99,99.465
"Photonic Crystals; Photonics; Waveguides",TC.203,126,0.62,92.1,1.32,86.345
"Earthquakes; Seismology; Seismic Response",TC.226,125,0.63,56.5,1.41,79.786
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,124,0.32,-40.2,1.83,94.913
"Galaxies; Stars; Planets",TC.1,120,0.19,83.5,2.17,99.264
"Morals; Research; Behavior",TC.267,119,0.65,-53.3,1.67,88.019
"Teacher; School; Education",TC.150,118,0.56,28.4,1.64,74.967
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,117,0.42,-51.6,1.84,94.177
"Reinforced Concrete; Concretes; Steel",TC.137,116,0.4,106.9,1.31,89.224
"Melanesia; Anthropology; Australia",TC.645,115,1.8,37.7,0.88,26.439
"Traffic Control; Transportation; Models",TC.107,106,0.3,0.0,1.17,93.708
"Neoplasms; Patients; Palliative Care",TC.77,105,0.32,-19.9,1.16,95.047
"Fisheries; Sharks; Fish",TC.63,105,0.48,-10.9,1.69,90.228
"Birds; Nests; Seabirds",TC.41,104,0.5,139.2,1.4,89.759
"Smoking; Tobacco Products; Smoking Cessation",TC.205,99,0.52,1.8,3.1,89.826
"Construction; Construction Industry; Project Management",TC.295,99,0.61,33.6,1.68,85.007
