Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Cape Town"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"HIV; HIV Infections; HIV-1",TC.17,971,2.33,-1.9,2.01,96.386
"Decay; Quarks; Neutrinos",TC.6,727,1.51,39.6,3.67,98.394
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,660,2.4,13.8,2.74,91.232
"Galaxies; Stars; Planets",TC.1,402,0.62,14.5,1.31,99.264
"Africa; African; South Africa",TC.483,326,3.56,-30.1,1.37,34.337
"Birds; Nests; Seabirds",TC.41,325,1.57,6.6,1.23,89.759
"Fisheries; Sharks; Fish",TC.63,225,1.03,-38.0,1.54,90.228
"Gravitation; Black Holes (Astronomy); Models",TC.15,201,0.52,27.3,1.2,95.716
"Health; Delivery Of Health Care; Women",TC.424,173,1.25,31.2,6.03,76.908
"Obesity; Motor Activity; Child",TC.18,164,0.3,116.7,5.16,99.197
"Botswana; Rock Art; Southern Africa",TC.1190,161,5.91,-5.1,1.57,14.926
"Exercise; Athletes; Muscles",TC.100,137,0.5,99.3,1.55,92.369
"Malaria; Plasmodium Falciparum; Parasites",TC.180,129,0.77,-37.0,1.45,89.424
"Mental Health; Psychiatry; Depression",TC.661,128,1.58,30.5,2.17,61.847
"Climate Models; Model; Rainfall",TC.5,124,0.21,-27.3,1.65,98.929
"Emotions; Anxiety; Depression",TC.167,112,0.46,-42.0,1.93,95.515
"HIV-1; HIV; HIV Infections",TC.188,111,0.8,27.4,2.04,88.755
"Wounds And Injuries; Patients; Emergencies",TC.380,105,0.99,32.2,1.19,51.339
"Fossils; Pleistocene; Paleolithic",TC.127,105,0.73,-14.3,3.18,80.522
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,103,0.52,-11.7,1.23,90.629
"Health; Research; Income",TC.1068,103,1.6,13.4,16.22,60.71
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,101,0.27,-7.4,1.43,96.854
"Rangelands; Grasslands; Savannas",TC.767,96,1.87,14.7,1.78,61.245
"Child; Malnutrition; Food",TC.934,93,1.77,-30.9,1.2,55.489
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,92,0.33,32.0,5.88,94.177
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,86,0.56,13.0,3.04,82.798
"Tides; Ocean; Ocean Currents",TC.252,85,0.68,77.2,1.87,79.652
"Carnivores; Ungulates; Deer",TC.224,82,0.62,81.4,1.52,81.124
"Oceans; Lakes; Dissolved Organic Matter",TC.52,78,0.31,20.2,1.91,95.984
"Flotation; Ores; Grinding (Machining)",TC.744,77,1.15,33.0,0.93,55.02
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,76,0.43,-27.2,2.03,83.802
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,75,0.16,78.2,2.2,98.26
"Electricity; Energy; Economics",TC.81,71,0.2,230.2,1.87,98.594
"Alcohols; Ethanol; Alcohol Drinking",TC.433,71,1.04,6.6,2.01,67.269
"Viruses; Mosaic Viruses; Phytoplasma",TC.293,71,0.71,-3.3,2.22,74.364
"Alcohols; Cannabis; Drinking",TC.174,68,0.4,-26.6,1.08,84.94
"Cholesterol; Lipids; Atherosclerosis",TC.79,68,0.29,-7.0,8.54,94.444
"Synthetic Aperture Radar; Radar; Radar Imaging",TC.204,65,0.28,176.2,1.11,81.794
"Disasters; Floods; Risks",TC.438,64,0.42,155.7,3.33,83.467
"Industry; Innovation; Entrepreneurship",TC.24,63,0.14,21.0,3.49,97.256
"Candida; Infection; Candida Albicans",TC.115,63,0.33,86.2,3.01,85.207
"Hypertension; Blood Pressure; Patients",TC.157,63,0.38,107.4,6.64,82.932
"Industry; Information Systems; Research",TC.254,61,0.38,204.9,0.58,76.238
"Models; Risks; Finance",TC.54,60,0.17,161.9,0.26,90.027
"Monetary Policy; Economic Growth; Exports",TC.21,58,0.14,96.8,0.85,90.094
"Nigeria; Africa; African",TC.513,58,0.67,53.8,1.14,23.092
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,58,0.16,1.5,1.08,97.724
"Violence; Women; Child",TC.310,57,0.41,39.6,1.07,78.782
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,56,0.09,8.7,0.85,99.13
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,55,0.07,247.1,0.66,97.523
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,55,0.19,-8.1,2.22,95.448
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,54,0.33,92.4,2.14,83.936
"Ligands; Ruthenium; Catalysts",TC.75,53,0.31,-47.8,1.1,97.791
"Forests; Landscapes; Plants",TC.151,53,0.24,-6.9,1.74,94.712
"Plants; Introduced Species; Invasive Species",TC.958,52,1.04,-49.7,1.06,63.655
"Neoplasms; Patients; Palliative Care",TC.77,52,0.16,-33.7,1.94,95.047
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,51,0.1,-23.3,1.67,99.665
"Catalysts; Zeolites; Hydrogenation",TC.7,50,0.09,-11.7,0.98,99.732
"Leaching; Ores; Bioleaching",TC.825,50,0.91,22.3,1.58,52.477
"Dinosaur; Cretaceous; Fossils",TC.375,49,0.81,120.1,1.21,58.099
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,49,0.07,-39.8,2.12,98.461
"Students; Science; Learning",TC.230,48,0.28,15.0,1.51,70.75
"Birds; Nests; Aves",TC.869,47,1.38,-0.4,1.15,23.963
"Pentecostal; Pentecostalism; Religion",TC.1078,44,0.8,76.4,1.59,11.111
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,43,0.12,-28.1,0.85,99.063
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,42,0.46,84.3,2.07,66.399
"Whales; Dolphins; Seals",TC.516,42,0.56,-28.9,3.29,85.274
"Traffic Control; Transportation; Models",TC.107,42,0.12,246.2,0.89,93.708
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,42,0.11,-16.6,2.52,94.913
"Ligands; Crystal Structure; Organometallics",TC.71,41,0.13,-7.0,0.77,99.331
"Eye; Glaucoma; Cataract",TC.19,41,0.12,48.3,0.93,90.83
"Contraception; Women; Contraceptive Agents",TC.409,41,0.45,131.9,1.17,60.776
"Design; Human Computer Interaction; Augmented Reality",TC.231,41,0.17,3.8,1.46,82.865
"Concretes; Compressive Strength; Cements",TC.68,40,0.1,-60.7,0.8,97.122
"Research; Clinical Trials As Topic; Patients",TC.463,40,0.39,134.6,1.28,62.048
"Law; Court; Human Rights",TC.757,40,0.67,111.3,0.36,22.959
"Work; Personality; Psychology",TC.29,40,0.1,-12.0,1.06,96.452
"Forest; Deforestation; Conservation",TC.663,39,0.44,182.2,1.87,75.1
"Media; News; Journalism",TC.279,39,0.2,656.8,0.84,81.593
"Industry; Research; Marketing",TC.36,39,0.1,-36.4,1.05,96.586
"Smoking; Tobacco Products; Smoking Cessation",TC.205,38,0.2,27.3,1.65,89.826
"Teachers; Language; Student",TC.265,38,0.2,65.0,1.63,73.36
"Mussels; Bivalvia; Oysters",TC.244,38,0.37,-13.7,1.14,75.636
"Students; Learning; Teaching; Course",TC.684,38,0.62,0.6,0.99,36.881
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,38,0.12,-7.7,1.68,87.818
"Dengue; Viruses; Dengue Virus",TC.170,37,0.16,43.7,5.92,98.327
"Pregnancy; Pre-Eclampsia; Women",TC.85,37,0.15,12.2,0.62,90.696
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,37,0.16,1.6,1.63,91.432
"Brain Injuries; Wounds And Injuries; Patients",TC.258,36,0.21,457.2,1.35,87.015
