Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Ghana"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Health; Delivery Of Health Care; Women",TC.424,159,1.15,-28.6,1.36,76.908
"Malaria; Plasmodium Falciparum; Parasites",TC.180,156,0.94,100.1,1.13,89.424
"HIV; HIV Infections; HIV-1",TC.17,89,0.21,170.2,0.7,96.386
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,78,0.28,301.2,1.41,91.232
"Nigeria; Africa; African",TC.513,73,0.85,29.0,0.77,23.092
"Child; Malnutrition; Food",TC.934,55,1.04,38.2,2.92,55.489
"Monetary Policy; Economic Growth; Exports",TC.21,44,0.1,468.5,0.64,90.094
"Data Envelopment Analysis; Banks; Efficiency",TC.384,40,0.29,-16.8,0.95,79.25
"Filarial Elephantiasis; Onchocerciasis; Microfilaria",TC.1172,38,1.58,106.0,1.42,23.896
"Health; Research; Income",TC.1068,38,0.59,70.1,7.49,60.71
"Africa; African; South Africa",TC.483,36,0.39,258.9,1.18,34.337
"Disasters; Floods; Risks",TC.438,35,0.23,214.7,2.39,83.467
"Mental Health; Psychiatry; Depression",TC.661,34,0.42,-78.7,1.03,61.847
"Contraception; Women; Contraceptive Agents",TC.409,34,0.37,-54.8,0.77,60.776
"Work; Personality; Psychology",TC.29,33,0.08,207.9,0.72,96.452
"Echinococcosis; Schistosomiasis; Parasites",TC.109,33,0.2,184.3,0.64,79.92
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,32,0.1,37.7,0.69,92.905
"Mercury; Mercury (Element); Methylmercury",TC.835,32,0.62,917.8,0.89,65.863
"Industry; Innovation; Entrepreneurship",TC.24,30,0.06,56.6,1.23,97.256
"Microfinance; Farmers; Cooperative",TC.532,30,0.34,20.9,1.03,57.764
"Obesity; Motor Activity; Child",TC.18,30,0.05,350.2,0.89,99.197
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,29,0.06,137.6,0.96,98.26
"Rotavirus; Norovirus; Coronavirus",TC.403,29,0.26,-51.1,1.52,81.66
"Industry; Research; Marketing",TC.36,28,0.07,73.3,0.92,96.586
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,27,0.07,-11.7,1.03,96.854
"Conflict; Peace; War",TC.489,25,0.23,312.1,0.87,51.874
"Wastes; Solid Wastes; Municipal Solid Waste",TC.703,24,0.27,-25.9,1.06,79.719
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,24,0.09,732.8,1.0,93.641
"Hypertension; Blood Pressure; Patients",TC.157,21,0.13,773.5,0.9,82.932
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,21,0.09,-40.7,2.35,91.432
"Farmers; Smallholder; Farms",TC.621,21,0.33,30.6,0.78,55.422
"Pregnancy; Pre-Eclampsia; Women",TC.85,21,0.09,-,3.35,90.696
"Groundwater; Groundwater Resources; Aquifers",TC.502,18,0.22,-66.8,0.42,62.383
"Breads; Starch; Glutens",TC.169,18,0.1,-21.1,0.77,91.299
"Dengue; Viruses; Dengue Virus",TC.170,18,0.08,-58.9,1.08,98.327
"Forest; Deforestation; Conservation",TC.663,18,0.21,131.6,4.42,75.1
"Poverty; Inequality; Development",TC.1107,17,0.35,142.9,2.64,31.66
"Library; Librarian; Information",TC.277,16,0.14,512.2,0.58,49.933
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,16,0.07,-4.3,2.17,94.779
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,16,0.06,691.4,0.98,95.448
"Dioscorea; Cassava; Sweet Potatoes",TC.1424,16,0.88,-10.0,0.44,11.044
"Sickle Cell Anemia; Beta-Thalassemia; Hemoglobins",TC.562,15,0.22,61.3,0.51,59.839
"Basin; Craton; Zircon",TC.1484,15,1.46,-7.6,0.41,7.497
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,15,0.1,-30.8,0.65,82.798
"Waves; Water Waves; Wave Energy Conversion",TC.284,15,0.11,-46.7,1.7,75.77
"Women; Cesarean Section; Parturition",TC.397,15,0.13,72.1,0.62,67.202
"Migration; Migrant; Immigrant",TC.419,15,0.12,116.6,0.96,59.572
"Medicinal Plants; Plants; Ethnobotany",TC.565,14,0.18,-,0.59,58.166
"Pentecostal; Pentecostalism; Religion",TC.1078,14,0.26,164.6,0.87,11.111
"Rice; Corn; Wheat",TC.339,14,0.14,-,0.46,71.352
"Electricity; Energy; Economics",TC.81,14,0.04,193.5,1.26,98.594
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,12,0.08,-,1.64,81.995
"Models; Risks; Finance",TC.54,12,0.03,118.3,0.95,90.027
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,12,0.11,-,0.76,77.376
"Antioxidants; Hypoglycemic Agents; Fruit",TC.672,12,0.17,361.8,0.42,58.835
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,12,0.06,-,1.39,79.183
"Violence; Women; Child",TC.310,12,0.09,55.1,0.76,78.782
"Boiling Liquids; Heat Transfer; Two Phase Flow",TC.273,11,0.06,-73.3,1.04,82.262
"Party; Election; Voter",TC.172,11,0.05,-57.4,0.32,78.179
"Learning; Students; Education",TC.557,11,0.12,-56.3,0.22,50.937
"Stroke; Patients; Cerebral Hemorrhage",TC.138,11,0.05,-,1.51,89.157
"Tea; Polyphenols; Anthocyanins",TC.294,11,0.06,-100.0,1.06,94.11
"Climate Models; Model; Rainfall",TC.5,11,0.02,-74.0,1.06,98.929
"Analgesia; Nerve Block; Bupivacaine",TC.305,10,0.09,-,0.95,64.324
"Teacher; School; Education",TC.150,10,0.05,173.3,0.97,74.967
"China; Chinese; Hong Kong",TC.471,10,0.1,81.8,1.31,48.862
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,10,0.08,-,1.74,89.09
"Student; Education; Learning",TC.913,10,0.16,-4.2,0.49,37.483
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,10,0.06,169.1,1.79,94.311
"Research; Technology; Industry",TC.637,10,0.1,607.1,2.41,70.281
"Verbs; Language; Semantics",TC.298,10,0.08,62.7,0.41,28.179
"Phytophthora; Trichoderma; Phytophthora Infestans",TC.425,10,0.14,85.8,0.8,62.918
"Nurses; Nursing; Students",TC.212,10,0.06,-32.2,0.39,68.273
"Education; Wages; Inequality",TC.657,10,0.12,224.7,0.33,59.973
"Tephritidae; Fruit Flies; Diptera",TC.1144,9,0.4,10.3,0.82,15.529
