Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Leeds"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,409,1.32,-38.0,2.59,97.59
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,385,1.71,18.8,3.74,91.165
"Galaxies; Stars; Planets",TC.1,305,0.47,14.2,1.98,99.264
"Traffic Control; Transportation; Models",TC.107,299,0.84,12.7,1.48,93.708
"Obesity; Motor Activity; Child",TC.18,274,0.5,6.4,1.97,99.197
"Climate Models; Model; Rainfall",TC.5,265,0.44,-23.5,2.52,98.929
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,208,0.55,20.7,1.78,96.854
"Electricity; Energy; Economics",TC.81,202,0.56,-7.4,2.96,98.594
"Arthroplasty; Hip; Knee",TC.123,199,0.77,-34.5,1.25,87.349
"Industry; Innovation; Entrepreneurship",TC.24,195,0.42,91.1,1.94,97.256
"Glaciers; Holocene; Glacial Geology",TC.103,173,1.05,66.0,2.19,91.098
"Gasification; Pyrolysis; Coal",TC.87,167,0.53,-30.7,2.18,98.527
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,160,0.86,23.6,1.39,86.412
"Basin; Reservoir; Shale",TC.213,124,0.79,11.2,1.52,77.577
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,119,0.42,129.6,2.96,92.035
"Magnetic Fields; Ionospheres; Sunspots",TC.31,119,0.48,7.2,1.2,87.282
"Knee; Osteoarthritis; Cartilage",TC.120,119,0.46,-26.5,1.25,91.566
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,114,0.14,-55.0,2.2,97.523
"Kant; Theory; Epistemic",TC.152,113,0.48,-15.2,1.49,50.87
