Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Sydney"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,1015,1.58,0.9,2.13,99.264
"Obesity; Motor Activity; Child",TC.18,814,1.48,51.3,2.93,99.197
"Decay; Quarks; Neutrinos",TC.6,707,1.46,11.0,3.71,98.394
"Neoplasms; Patients; Palliative Care",TC.77,409,1.26,26.0,1.83,95.047
"Melanoma; Skin Neoplasms; Neoplasms",TC.233,408,2.45,-17.5,4.0,80.924
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,365,0.98,-7.3,1.92,94.578
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,360,1.29,-9.5,1.86,94.177
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,355,1.18,-16.2,1.88,95.783
"Photonics; Optical Communication; Optical Fibers",TC.113,342,1.31,18.9,1.89,79.518
"Stroke; Gait; Rehabilitation",TC.48,333,0.84,-16.2,1.82,96.787
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,326,0.41,23.6,2.18,97.523
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,324,1.33,10.0,1.64,93.976
"Radiotherapy; Radiation; Intensity-Modulated Radiotherapy",TC.322,317,2.33,-24.9,1.17,71.017
"Spine; Patients; Low Back Pain",TC.23,311,0.75,112.9,1.89,93.039
"Students; Medical Students; Education",TC.43,294,0.73,-28.3,1.5,91.901
"Attention; Brain; Learning",TC.10,294,0.66,-0.6,0.92,98.193
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,291,0.46,131.8,2.06,99.13
"Alzheimer Disease; Dementia; Amyloid",TC.32,283,0.72,6.3,2.4,98.795
"Algorithms; Computer Vision; Models",TC.0,276,0.21,51.9,2.67,99.465
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,270,0.54,55.5,13.67,99.665
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,268,0.73,40.2,3.88,97.724
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,261,1.35,-3.8,1.96,79.183
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,261,0.69,-11.9,1.4,96.185
"Eye; Glaucoma; Cataract",TC.19,257,0.73,0.7,1.94,90.83
"Traffic Control; Transportation; Models",TC.107,251,0.71,-33.5,1.45,93.708
"Knee; Osteoarthritis; Cartilage",TC.120,250,0.97,-8.5,2.28,91.566
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,248,0.9,26.6,2.15,91.232
"Exercise; Athletes; Muscles",TC.100,248,0.91,33.8,1.5,92.369
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,244,1.69,65.6,1.97,78.581
"Breast Neoplasms; Patients; Mammography",TC.89,242,0.95,25.9,2.62,90.897
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,238,0.93,10.6,2.29,95.85
"Fires; Marsupial; Marsupialia",TC.953,231,7.5,19.4,1.44,43.373
"Lizards; Turtles; Frogs",TC.126,227,1.51,-27.0,1.35,76.506
"North American Indians; Residence Characteristics; Health",TC.833,223,3.67,62.2,1.24,54.953
"Soil; Biochar; Soil Organic Carbon",TC.35,220,0.68,13.1,2.67,98.059
"Models; Risks; Finance",TC.54,217,0.62,53.9,0.85,90.027
"Radiation; Tomography; Medical Imaging",TC.245,210,1.16,-36.6,1.24,79.116
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,209,0.45,-2.6,1.79,98.26
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,205,1.32,60.7,2.45,81.995
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,200,0.98,-3.2,1.49,83.333
"HIV; HIV Infections; HIV-1",TC.17,199,0.48,3.5,1.53,96.386
"Emotions; Anxiety; Depression",TC.167,197,0.8,36.4,1.42,95.515
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,195,0.5,20.4,2.33,94.913
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,192,0.59,32.5,1.85,92.303
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,189,0.25,-29.4,1.64,99.866
"Language; Reading; Semantics",TC.88,187,0.76,17.6,1.78,89.491
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,181,1.43,-26.1,1.65,86.145
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,180,1.15,-1.6,2.75,88.688
"Fiber Lasers; Fibers; Optical Fibers",TC.111,179,0.64,-16.8,1.08,88.353
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,176,0.87,3.1,1.62,80.054
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,176,0.62,127.2,1.97,92.035
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,175,0.74,-15.4,2.0,91.432
"Pregnancy; Pre-Eclampsia; Women",TC.85,173,0.72,20.2,1.98,90.696
"Bone And Bones; Osteoporosis; Bone Density",TC.45,173,0.61,12.6,1.46,92.972
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,173,0.41,41.1,1.95,93.173
"Cholesterol; Lipids; Atherosclerosis",TC.79,172,0.74,21.9,5.71,94.444
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,171,0.59,-4.2,1.92,95.448
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,169,0.85,-20.6,1.97,89.625
"Reinforced Concrete; Concretes; Steel",TC.137,168,0.58,60.4,1.24,89.224
"Alcohols; Reward; Cocaine",TC.132,165,0.95,38.6,1.77,92.771
"Zircon; Uranium-Lead Dating; Geochronology",TC.2,157,0.42,-11.7,2.15,96.854
"Pain; Neuralgia; Chronic Pain",TC.140,156,0.79,43.3,2.32,90.562
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,153,0.86,17.3,1.84,83.802
"Students; Teaching; Education; E-Learning",TC.200,146,0.62,-53.6,2.29,86.278
"Smoking; Tobacco Products; Smoking Cessation",TC.205,145,0.77,-30.0,1.63,89.826
"Work; Personality; Psychology",TC.29,145,0.36,12.0,1.21,96.452
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,144,0.5,-20.8,1.63,90.361
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,143,0.26,-23.1,0.86,99.531
"Hypertension; Blood Pressure; Patients",TC.157,141,0.86,66.1,7.09,82.932
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,140,0.45,-42.8,1.47,92.905
"Candida; Infection; Candida Albicans",TC.115,140,0.72,39.7,1.84,85.207
"Stroke; Patients; Cerebral Hemorrhage",TC.138,138,0.61,84.3,7.31,89.157
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,134,0.57,26.1,2.02,94.779
"Multiple Sclerosis; Patients; Neuromyelitis Optica",TC.304,133,0.89,15.2,2.6,87.952
"Kant; Theory; Epistemic",TC.152,129,0.54,-21.2,1.61,50.87
"Oral Health; Periodontitis; Dental Caries",TC.125,129,0.62,-39.6,1.26,84.605
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,129,0.42,40.1,1.85,93.106
"Industry; Innovation; Entrepreneurship",TC.24,128,0.27,-22.3,2.41,97.256
"Microstructure; Steel; Austenite",TC.20,128,0.3,-28.8,2.09,97.323
"Electricity; Energy; Economics",TC.81,128,0.36,32.1,3.85,98.594
