Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of York"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Nuclei; Neutrons; Reaction",TC.83,324,2.02,67.3,1.03,75.167
"Magnetoplasma; Tokamak Devices; Plasmas",TC.185,205,1.19,123.5,1.56,77.845
"Attention; Brain; Learning",TC.10,185,0.41,81.7,1.45,98.193
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,180,0.84,5.3,1.02,93.44
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,173,0.22,-4.7,1.04,97.523
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,173,0.56,1.7,1.78,97.59
"Health; Costs And Cost Analysis; Neoplasms",TC.584,165,1.52,-43.1,3.29,72.892
"Language; Reading; Semantics",TC.88,164,0.67,-32.2,2.19,89.491
"Software Engineering; Models; Software Design",TC.49,153,0.4,-39.3,1.77,90.964
"Fossils; Pleistocene; Paleolithic",TC.127,140,0.97,-29.9,2.01,80.522
"Verification; Model Checking; Semantics",TC.96,132,0.57,-21.7,1.07,70.549
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,122,0.32,-15.5,1.71,96.185
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,122,0.85,-37.5,6.75,78.581
"Embedded Systems; Scheduling; Real Time Systems",TC.667,108,1.32,-7.6,1.65,44.244
"Inertial Confinement Fusion; Laser Produced Plasmas; Plasmas (Physics)",TC.312,107,0.94,23.8,1.14,65.06
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,105,0.38,102.0,1.58,94.177
"Smoking; Tobacco Products; Smoking Cessation",TC.205,96,0.51,129.1,2.35,89.826
"Delivery Of Health Care; Patients; Hospitals",TC.160,92,0.43,-39.5,2.12,86.078
"Alcohols; Cannabis; Drinking",TC.174,90,0.53,-9.6,1.44,84.94
"Data Storage Equipment; Program Processors; Applications",TC.92,89,0.31,83.6,1.84,81.928
"Arabidopsis; Plants; Genes",TC.11,89,0.2,-53.8,2.18,98.862
"HIV; HIV Infections; HIV-1",TC.17,86,0.21,98.2,3.76,96.386
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,84,0.43,-55.6,1.07,82.195
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,80,0.15,-12.8,1.19,99.799
"Quantitative Structure-Activity Relationship; Drug Discovery; Pharmaceutical Preparations",TC.387,78,0.7,-30.8,1.6,78.313
"Neoplasms; Patients; Palliative Care",TC.77,78,0.24,24.3,1.34,95.047
"Forests; Landscapes; Plants",TC.151,77,0.35,-37.9,3.22,94.712
"Party; Election; Voter",TC.172,76,0.33,-44.9,1.66,78.179
"Gravitation; Black Holes (Astronomy); Models",TC.15,74,0.19,-58.4,1.24,95.716
"Obesity; Motor Activity; Child",TC.18,73,0.13,268.3,5.33,99.197
"Monetary Policy; Economic Growth; Exports",TC.21,69,0.16,9.3,1.0,90.094
"Liquid Crystals; Nematic Liquid Crystals; Liquid Crystal Displays",TC.220,68,0.6,62.7,1.87,81.325
"Models; Risks; Finance",TC.54,66,0.19,-46.3,0.71,90.027
"Glaciers; Holocene; Glacial Geology",TC.103,65,0.4,165.5,2.55,91.098
"Algorithms; Computer Vision; Models",TC.0,63,0.05,20.3,1.22,99.465
"Estimator; Models; Variable Selection",TC.74,61,0.2,57.0,0.98,83.601
"Child; Adolescent; Schools",TC.99,61,0.21,24.1,1.67,93.307
"Humor; Conversation Analysis; Politeness",TC.530,59,0.59,-18.9,2.18,47.858
"Health; Socioeconomic Factors; Mortality",TC.537,58,0.58,65.6,2.89,75.301
"Kant; Theory; Epistemic",TC.152,57,0.24,52.1,1.21,50.87
"Emotions; Anxiety; Depression",TC.167,55,0.22,39.2,3.0,95.515
"Hearing; Hearing Loss; Cochlear Implants",TC.66,55,0.23,-3.7,1.9,87.483
"Primates; Pan Troglodytes; Behavior",TC.350,55,0.61,-13.2,2.99,75.435
"Industry; Innovation; Entrepreneurship",TC.24,54,0.12,-14.6,1.86,97.256
"Memory; Episodic Memory; Learning",TC.448,54,0.56,-19.6,3.63,73.226
"Discharge; Plasma Applications; Plasma Jets",TC.184,52,0.34,39.2,2.05,83.534
"Nursing Homes; Long-Term Care; Caregivers",TC.482,51,0.61,36.7,1.27,57.095
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,50,0.41,-11.8,2.25,84.739
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,49,0.19,10.0,1.97,90.428
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,49,0.11,-40.6,1.52,98.26
"Agents; Game Theory; Models",TC.173,47,0.21,101.6,0.64,81.058
"Escherichia Coli; Bacteria; Quorum Sensing",TC.198,47,0.3,172.3,1.53,92.838
"Students; Medical Students; Education",TC.43,46,0.11,99.3,1.53,91.901
"Botswana; Rock Art; Southern Africa",TC.1190,45,1.65,-59.7,1.52,14.926
"Fisheries; Sharks; Fish",TC.63,45,0.21,-33.1,1.92,90.228
"Photonic Crystals; Photonics; Waveguides",TC.203,45,0.22,0.6,0.61,86.345
"Vowels; Language; Dialect",TC.418,44,0.46,51.3,1.88,35.274
"European Union (EU); Europe; Governance",TC.505,44,0.39,-25.8,2.47,46.319
"Students; Education; Teaching",TC.542,44,0.35,201.3,4.87,74.833
"Neolithic; Bronze Age; Iron Age",TC.354,43,0.69,136.1,2.04,20.348
"Nuclear Magnetic Resonance; Nuclear Magnetic Resonance Spectroscopy; Biomolecular Nuclear Magnetic Resonance",TC.737,43,0.88,107.5,1.81,65.462
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,42,0.25,-19.1,1.16,91.365
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,41,0.37,90.4,1.2,77.376
"Wounds And Injuries; Pressure Ulcer; Bandages",TC.372,40,0.38,-21.0,1.92,66.667
"DNA; Microsatellite Repeats; Population",TC.604,40,0.56,-0.5,2.35,68.608
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,39,0.16,32.0,1.33,93.976
"Cellulose; Lignin; Cellulases",TC.119,39,0.15,110.9,2.12,98.126
"Hausdorff Dimension; Map; Entropy",TC.599,39,0.59,15.6,1.06,19.545
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,39,0.18,82.4,1.49,94.846
"Art; Aesthetics; Kierkegaard",TC.695,39,0.46,29.6,2.76,24.23
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,38,0.08,-21.9,1.61,99.665
"Lipases; Biocatalysts; Biocatalysis",TC.323,38,0.38,64.8,1.88,87.082
"Noise Pollution; Acoustic Waves; Acoustic Variables Control",TC.654,38,0.46,-0.8,1.0,51.406
"Research; Clinical Trials As Topic; Patients",TC.463,37,0.36,-41.3,1.51,62.048
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,37,0.11,-29.5,1.0,92.303
"Beckett; Modernism; Poetry",TC.889,37,0.61,79.6,1.4,3.481
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,37,0.4,-18.2,1.55,75.033
"Electron Microscopy; Aberrations; Electron Microscopes",TC.771,37,0.71,45.5,1.44,68.541
"Electricity; Energy; Economics",TC.81,37,0.1,46.8,2.19,98.594
"Echinococcosis; Schistosomiasis; Parasites",TC.109,37,0.23,-39.1,1.42,79.92
"Archaeology; Shipwrecks; Archaeological",TC.990,36,0.86,62.0,1.69,11.446
"Design; Human Computer Interaction; Websites",TC.742,36,0.45,41.6,1.1,54.15
