Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Zhejiang University"
Year range,2013 to 2019
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,15 March 2019
Date exported,10 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Algorithms; Computer Vision; Models",TC.0,1621,0.9,-20.0,1.36,99.465
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,1348,1.39,-27.8,1.25,98.461
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,1170,1.12,9.1,3.41,100.0
"Piles; Soils; Geotechnical Engineering",TC.64,987,2.24,-27.5,0.79,87.684
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,975,0.84,-28.6,2.01,99.933
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,955,1.11,-30.4,1.39,99.13
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,894,0.88,6.2,1.86,99.866
"Catalysts; Zeolites; Hydrogenation",TC.7,893,1.29,-4.9,1.3,99.732
"Arabidopsis; Plants; Genes",TC.11,852,1.47,-0.4,1.6,98.862
"Plasmons; Metamaterials; Surface Plasmon Resonance",TC.47,805,1.11,-10.2,1.47,99.531
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,785,1.32,59.4,1.83,99.398
"Control; Controllers; Linear Matrix Inequalities",TC.9,764,1.04,-15.3,2.08,96.921
"Gasification; Pyrolysis; Coal",TC.87,740,1.83,-17.0,1.13,98.527
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,609,0.86,4.4,1.9,99.799
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,586,1.22,-32.9,1.05,99.063
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,569,0.57,-4.9,1.98,97.523
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,541,1.4,1.2,0.88,87.818
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,492,0.64,-2.9,2.34,96.519
"Concretes; Compressive Strength; Cements",TC.68,488,0.94,-32.4,0.96,97.122
"Algorithms; Computer Graphics; Surfaces",TC.228,474,2.54,-56.0,0.62,61.178
"Soil; Biochar; Soil Organic Carbon",TC.35,455,1.04,0.9,1.6,98.059
"Photonic Crystals; Photonics; Waveguides",TC.203,453,1.83,75.7,1.24,86.345
"Block Copolymers; Micelles; Polymers",TC.112,450,1.62,0.8,1.51,97.858
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,439,0.74,158.4,2.58,98.26
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,417,0.62,53.3,1.1,99.665
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,410,1.16,-44.4,0.98,96.118
"Traffic Control; Transportation; Models",TC.107,408,0.85,-10.3,1.41,93.708
"Fault Detection; Process Monitoring; Principal Component Analysis",TC.899,393,5.5,13.4,1.4,49.531
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,373,0.69,-20.3,2.32,99.598
"Ligands; Crystal Structure; Organometallics",TC.71,363,0.84,3.8,2.56,99.331
