,Topic Cluster Number,Institutions With the Same Topic Number,Topic Cluster,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile,Specific Institution
0,TC.0,"Universidade Federal de Minas Gerais, University of Leeds, University of Massachusetts, University of Sheffield, University of Sydney",Algorithms; Computer Vision; Models,125.0,0.09,9.7,2.12,99.465,Universidade Federal de Minas Gerais
1,TC.0,"Universidade Federal de Minas Gerais, University of Leeds, University of Massachusetts, University of Sheffield, University of Sydney",Algorithms; Computer Vision; Models,48.0,0.04,-51.7,2.74,99.465,University of Leeds
2,TC.0,"Universidade Federal de Minas Gerais, University of Leeds, University of Massachusetts, University of Sheffield, University of Sydney",Algorithms; Computer Vision; Models,73.0,0.05,35.7,6.09,99.465,University of Massachusetts
3,TC.0,"Universidade Federal de Minas Gerais, University of Leeds, University of Massachusetts, University of Sheffield, University of Sydney",Algorithms; Computer Vision; Models,152.0,0.11,-48.0,2.83,99.465,University of Sheffield
4,TC.0,"Universidade Federal de Minas Gerais, University of Leeds, University of Massachusetts, University of Sheffield, University of Sydney",Algorithms; Computer Vision; Models,276.0,0.21,51.9,2.67,99.465,University of Sydney
5,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,10.0,0.02,-,5.48,99.264,National Cheng Kung University
6,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,164.0,0.25,119.1,2.9,99.264,
7,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,313.0,0.49,20.5,2.75,99.264,University of Alberta
8,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,8.0,0.01,291.6,11.63,99.264,University of Bergen
9,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,524.0,0.81,-9.6,3.76,99.264,University of Massachusetts
10,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,366.0,0.57,38.8,6.33,99.264,University of Sheffield
11,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,874.0,1.36,27.0,4.01,99.264,University of Southampton
12,TC.1,"National Cheng Kung University, nan, University of Alberta, University of Bergen, University of Massachusetts, University of Sheffield, University of Southampton, University of Western Australia",Galaxies; Stars; Planets,716.0,1.11,59.5,3.98,99.264,University of Western Australia
13,TC.10,University of Ghana,Attention; Brain; Learning,1.0,0.0,-,2.71,98.193,University of Ghana
14,TC.1005,University of Nairobi,Microsatellite Repeats; Breeds; Swine,1.0,0.03,-,2.16,31.258000000000003,University of Nairobi
15,TC.1009,Instituto Tecnologico de Estudios Superiores de Monterrey,Neural Networks; Algorithms; Models,10.0,0.26,22.5,2.17,28.849,Instituto Tecnologico de Estudios Superiores de Monterrey
16,TC.101,Renmin University of China,Robots; Robotics; Manipulators,1.0,0.0,-,1.99,88.956,Renmin University of China
17,TC.1014,University of Alberta,Control; Mean Field; Optimal Control,23.0,0.58,261.1,2.77,21.686999999999998,University of Alberta
18,TC.1015,University of Nairobi,Periodicals As Topic; Open Access; Library,6.0,0.11,-100.0,3.16,41.431999999999995,University of Nairobi
19,TC.1017,"Instituto Tecnologico de Estudios Superiores de Monterrey, University of Ghana",Morus; Flavonoids; Antioxidants,2.0,0.05,-,3.96,45.248000000000005,Instituto Tecnologico de Estudios Superiores de Monterrey
20,TC.1017,"Instituto Tecnologico de Estudios Superiores de Monterrey, University of Ghana",Morus; Flavonoids; Antioxidants,3.0,0.07,-,2.21,45.248000000000005,University of Ghana
21,TC.1018,University of Sheffield,Endocarditis; Aneurysm; Patients,21.0,0.46,108.9,3.51,24.766,University of Sheffield
22,TC.102,University of Rochester,Parkinson Disease; Deep Brain Stimulation; Patients,149.0,0.48,-19.3,3.47,95.85,University of Rochester
23,TC.1021,"National Cheng Kung University, University of Bergen",Amyotrophic Lateral Sclerosis; Motor Neurons; Patients,8.0,0.14,-45.5,2.09,78.514,National Cheng Kung University
24,TC.1021,"National Cheng Kung University, University of Bergen",Amyotrophic Lateral Sclerosis; Motor Neurons; Patients,7.0,0.12,-,3.88,78.514,University of Bergen
25,TC.1028,University of Bristol,Pregnancy; Depression; Postpartum Depression,20.0,0.42,111.1,4.62,57.631,University of Bristol
26,TC.103,"University of Alberta, University of Massachusetts, University of Sheffield",Glaciers; Holocene; Glacial Geology,150.0,0.91,-51.4,2.59,91.098,University of Alberta
27,TC.103,"University of Alberta, University of Massachusetts, University of Sheffield",Glaciers; Holocene; Glacial Geology,63.0,0.38,13.8,3.36,91.098,University of Massachusetts
28,TC.103,"University of Alberta, University of Massachusetts, University of Sheffield",Glaciers; Holocene; Glacial Geology,185.0,1.13,-5.2,2.87,91.098,University of Sheffield
29,TC.1033,University of Nairobi,Early Modern; Eighteenth Century; Venice,2.0,0.05,-,2.52,3.1460000000000004,University of Nairobi
30,TC.1038,Maastricht University,Neutrophils; NADPH Oxidase; Reactive Oxygen Species,30.0,0.71,16.4,3.49,66.265,Maastricht University
31,TC.104,University of Leeds,DNA Repair; DNA Damage; Neoplasms,22.0,0.11,54.3,6.22,93.574,University of Leeds
32,TC.1042,"University of Southampton, University of Sydney, University of Western Australia",Fatty Liver; Liver Diseases; Alcoholic Fatty Liver,36.0,0.52,-61.7,4.3,77.175,University of Southampton
33,TC.1042,"University of Southampton, University of Sydney, University of Western Australia",Fatty Liver; Liver Diseases; Alcoholic Fatty Liver,49.0,0.71,53.1,3.51,77.175,University of Sydney
34,TC.1042,"University of Southampton, University of Sydney, University of Western Australia",Fatty Liver; Liver Diseases; Alcoholic Fatty Liver,26.0,0.38,-23.4,4.81,77.175,University of Western Australia
35,TC.105,"The Chinese University of Hong Kong, Shenzhen",Magnetic Anisotropy; Magnetization; Magnetism,27.0,0.13,-,3.21,93.44,"The Chinese University of Hong Kong, Shenzhen"
36,TC.1053,University of Ghana,Shape Optimization; Structural Optimization; Design,1.0,0.02,-100.0,3.32,48.193000000000005,University of Ghana
37,TC.1058,Zhejiang University,Hydrodynamics; Boundary Element Method; Functions,46.0,0.65,-36.1,2.68,54.818999999999996,Zhejiang University
38,TC.1062,"nan, University of Massachusetts, University of York",Chemical Sensors; Gas Detectors; Volatile Organic Compounds,9.0,0.15,79.8,2.6,71.821,
39,TC.1062,"nan, University of Massachusetts, University of York",Chemical Sensors; Gas Detectors; Volatile Organic Compounds,19.0,0.33,34.8,4.53,71.821,University of Massachusetts
40,TC.1062,"nan, University of Massachusetts, University of York",Chemical Sensors; Gas Detectors; Volatile Organic Compounds,6.0,0.1,169.7,4.89,71.821,University of York
41,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,21.0,0.33,410.2,14.99,60.71,Maastricht University
42,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,8.0,0.12,-,186.77,60.71,Universidade Federal de Minas Gerais
43,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,25.0,0.39,240.2,40.17,60.71,University of Alberta
44,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,40.0,0.62,6.3,39.12,60.71,University of Auckland
45,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,40.0,0.62,55.9,39.3,60.71,University of Bergen
46,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,18.0,0.28,-36.2,86.78,60.71,University of Bristol
47,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,103.0,1.6,13.4,16.22,60.71,University of Cape Town
48,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,38.0,0.59,70.1,7.49,60.71,University of Ghana
49,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,43.0,0.67,155.1,6.32,60.71,University of Nairobi
50,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,21.0,0.28,155.1,65.17,60.71,University of Rochester
51,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,24.0,0.37,-15.0,3.55,60.71,University of Sheffield
52,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,14.0,0.22,155.1,96.98,60.71,University of Southampton
53,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,51.0,0.79,45.8,30.77,60.71,University of Sydney
54,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,20.0,0.31,240.2,75.52,60.71,University of Western Australia
55,TC.1068,"Maastricht University, Universidade Federal de Minas Gerais, University of Alberta, University of Auckland, University of Bergen, University of Bristol, University of Cape Town, University of Ghana, University of Nairobi, University of Rochester, University of Sheffield, University of Southampton, University of Sydney, University of Western Australia, University of York",Health; Research; Income,17.0,0.26,155.1,68.59,60.71,University of York
56,TC.1069,University of Auckland,Phase Change Materials; Heat Storage; Thermal Energy,26.0,0.4,-13.4,2.66,83.066,University of Auckland
57,TC.107,"The Chinese University of Hong Kong, Shenzhen",Traffic Control; Transportation; Models,8.0,0.02,-74.4,7.66,93.708,"The Chinese University of Hong Kong, Shenzhen"
58,TC.108,"Maastricht University, University of Bristol, Zhejiang University",Proteins; Molecular Dynamics Simulation; Molecular Dynamics,5.0,0.02,-,2.69,94.846,Maastricht University
59,TC.108,"Maastricht University, University of Bristol, Zhejiang University",Proteins; Molecular Dynamics Simulation; Molecular Dynamics,95.0,0.43,-20.4,3.34,94.846,University of Bristol
60,TC.108,"Maastricht University, University of Bristol, Zhejiang University",Proteins; Molecular Dynamics Simulation; Molecular Dynamics,88.0,0.32,-34.9,1.73,94.846,Zhejiang University
61,TC.1084,National Cheng Kung University,Radar; Ultra-Wideband (UWB); Microwaves,22.0,0.38,-53.9,1.63,38.688,National Cheng Kung University
62,TC.1085,Universidade Federal de Minas Gerais,Menarche; Puberty; Precocious Puberty,8.0,0.26,109.5,4.09,28.447,Universidade Federal de Minas Gerais
63,TC.109,nan,Echinococcosis; Schistosomiasis; Parasites,57.0,0.35,19.9,2.58,79.92,
64,TC.11,"University of Leeds, University of Sheffield",Arabidopsis; Plants; Genes,98.0,0.22,38.6,2.78,98.86200000000001,University of Leeds
65,TC.11,"University of Leeds, University of Sheffield",Arabidopsis; Plants; Genes,72.0,0.16,7.2,3.27,98.86200000000001,University of Sheffield
66,TC.110,National Cheng Kung University,Cells; Drosophila; Neoplasms,26.0,0.11,-4.5,1.96,94.645,National Cheng Kung University
67,TC.1107,University of Ghana,Poverty; Inequality; Development,17.0,0.35,142.9,2.64,31.66,University of Ghana
68,TC.1112,University of Rochester,Sarcoidosis; Granuloma; Patients,8.0,0.2,-,3.38,19.344,University of Rochester
69,TC.112,University of York,Block Copolymers; Micelles; Polymers,5.0,0.02,-51.7,7.42,97.85799999999999,University of York
70,TC.1121,University of Leeds,Amphipoda; Crustacea; Isopoda,16.0,0.88,49.1,2.85,8.902000000000001,University of Leeds
