,Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile,Institution
0,Neoplasms; Breast Neoplasms; Cells,TC.535,2.0,0.03,-,16.84,77.041,Instituto Tecnologico de Estudios Superiores de Monterrey
1,Optogenetics; Electrophysiology; Microelectrodes,TC.892,2.0,0.03,-,14.7,72.624,Instituto Tecnologico de Estudios Superiores de Monterrey
2,Sustainability; Sustainable Development; Students,TC.879,13.0,0.19,-16.3,12.02,53.213,Instituto Tecnologico de Estudios Superiores de Monterrey
3,Human Engineering; Ergonomics; Automation,TC.588,4.0,0.04,-,11.11,56.961000000000006,Instituto Tecnologico de Estudios Superiores de Monterrey
4,Cells; Neoplasms; Hydrogels,TC.166,8.0,0.04,-,6.04,97.055,Instituto Tecnologico de Estudios Superiores de Monterrey
5,Disasters; Floods; Risks,TC.438,7.0,0.05,-47.5,5.96,83.46700000000001,Instituto Tecnologico de Estudios Superiores de Monterrey
6,Industry; Web Services; Models,TC.327,28.0,0.2,116.6,4.52,72.08800000000001,Instituto Tecnologico de Estudios Superiores de Monterrey
7,Uterine Cervical Neoplasms; Papillomavirus Infections; Women,TC.189,3.0,0.02,-,4.41,83.802,Instituto Tecnologico de Estudios Superiores de Monterrey
8,Hydroxyapatite; Calcium Phosphate; Scaffolds,TC.247,6.0,0.03,-7.4,4.26,93.507,Instituto Tecnologico de Estudios Superiores de Monterrey
9,Dyeing; Cotton Fabrics; Textiles,TC.491,2.0,0.03,-,4.21,50.803000000000004,Instituto Tecnologico de Estudios Superiores de Monterrey
10,Morus; Flavonoids; Antioxidants,TC.1017,2.0,0.05,-,3.96,45.248000000000005,Instituto Tecnologico de Estudios Superiores de Monterrey
11,India; Indian; Politics,TC.475,2.0,0.02,-,3.69,34.137,Instituto Tecnologico de Estudios Superiores de Monterrey
12,Supply Chains; Supply Chain Management; Industry,TC.146,81.0,0.32,62.1,3.65,95.382,Instituto Tecnologico de Estudios Superiores de Monterrey
13,Science; Risks; Nanotechnology,TC.550,6.0,0.06,-,3.6,71.687,Instituto Tecnologico de Estudios Superiores de Monterrey
14,Algorithms; Computer Graphics; Surfaces,TC.228,2.0,0.01,-,3.33,61.178000000000004,Instituto Tecnologico de Estudios Superiores de Monterrey
15,Manufacture; Industry; Automation,TC.907,7.0,0.1,-,3.31,54.217,Instituto Tecnologico de Estudios Superiores de Monterrey
16,Research; Meta-Analysis As Topic; Guidelines As Topic,TC.356,4.0,0.03,-,3.18,78.581,Instituto Tecnologico de Estudios Superiores de Monterrey
17,Food; Consumers; Farmers,TC.437,2.0,0.02,-,3.04,73.628,Instituto Tecnologico de Estudios Superiores de Monterrey
18,Coffee; Caffeine; Energy Drinks,TC.1192,2.0,0.05,-,3.0,58.635,Instituto Tecnologico de Estudios Superiores de Monterrey
19,Photocatalysis; Photocatalysts; Solar Cells,TC.8,12.0,0.01,24.7,2.89,99.93299999999999,Instituto Tecnologico de Estudios Superiores de Monterrey
